cost,quality,discharge,income,provider_id,provider
1,0.341786525,1,0.762301287,450054,SCOTT & WHITE MEMORIAL HOSPITAL
0.998864497,0.305071915,0.999621499,0.601059803,140010,EVANSTON HOSPITAL
0.997728993,0.420893263,0.999242998,0.506056018,230046,UNIVERSITY OF MICHIGAN HEALTH SYSTEM
0.99015897,0.135124905,0.998864497,0.510976533,230053,HENRY FORD HOSPITAL
0.995457986,0.263058289,0.998485995,0.908024224,50573,EISENHOWER MEDICAL CENTER
0.998485995,0.772899319,0.998107494,0.009084027,220071,MASSACHUSETTS GENERAL HOSPITAL
0.995836488,0.102952309,0.997728993,0.599167298,140276,LOYOLA UNIVERSITY MEDICAL CENTER
0.992429977,0.088947767,0.997350492,0.669568509,190036,OCHSNER MEDICAL CENTER
0.996214989,0.441710825,0.996971991,0.818697956,60024,UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT
0.99659349,0.644587434,0.99659349,0.152535958,390111,HOSPITAL OF UNIV OF PENNSYLVANIA
0.974640424,0.060938683,0.996214989,0.200227101,340014,NOVANT HEALTH FORSYTH MEDICAL CENTER
0.994322483,0.206283119,0.995836488,0.00984103,220031,BOSTON MEDICAL CENTER CORPORATION
0.997350492,0.263058289,0.995457986,0.615064345,140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER
0.999621499,0.658970477,0.995079485,0.938304315,50441,STANFORD HOSPITAL
0.99318698,0.722937169,0.994700984,0.798258895,670034,SCOTT & WHITE HOSPITAL-ROUND ROCK
0.996971991,0.420893263,0.994322483,0.742997729,450102,MOTHER FRANCES HOSPITAL
0.998107494,0.185465556,0.993943982,0.961392884,50599,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER
0.993565481,0.658970477,0.993565481,0.009462528,220110,BRIGHAM AND WOMEN'S HOSPITAL
0.994700984,0.206283119,0.99318698,0.032551098,470003,UNIVERSITY OF VERMONT MEDICAL CENTER
0.992808478,0.420893263,0.992808478,0.012869039,220086,BETH ISRAEL DEACONESS MEDICAL CENTER
0.989023467,0.524224073,0.992429977,0.303557911,100073,HOLY CROSS HOSPITAL INC
