cost,quality,discharge,income,provider_id,provider
3,2317,1,1842,190006,UNIVERSITY HOSPITAL & CLINICS
1,2725,1,1880,190257,GREEN CLINIC SURGICAL HOSPITAL
32,2508,1,1965,370190,"SOUTHWESTERN REGIONAL MEDICAL CENTER, INC"
2,2555,1,2217,450221,MOORE COUNTY HOSPITAL DISTRICT
9,2579,5,486,490143,RIVERSIDE DOCTORS' HOSPITAL OF WILLIAMSBURG
10,1496,6,2523,50765,KAISER FOUNDATION HOSPITAL-MORENO VALLEY
4,379,6,2600,50113,SAN MATEO MEDICAL CENTER
14,2691,8,2088,450883,BAYLOR MEDICAL CENTER AT TROPHY CLUB
13,2782,8,1830,190241,PHYSICIANS MEDICAL CENTER
22,2721,10,2009,450891,TEXAS HEALTH CENTER FOR DIAGNOSTICS & SURGERY PLAN
24,2754,11,1836,190267,FAIRWAY MEDICAL CENTER
5,2464,11,1956,370173,CLAREMORE INDIAN HOSPITAL
19,2397,11,2433,50717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR
15,1,14,1283,360361,KINGS DAUGHTERS MEDICAL CENTER OHIO
16,1,14,1378,230301,OAKLAND REGIONAL HOSPITAL
6,1,16,2092,450584,WILBARGER GENERAL HOSPITAL
7,1961,16,2218,450155,HEREFORD REGIONAL MEDICAL CENTER
18,2256,18,2466,50677,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS
8,2322,18,2779,20018,YUKON KUSKOKWIM DELTA REG HOSPITAL
26,2382,20,2718,380056,SANTIAM MEMORIAL HOSPITAL
12,2057,21,2236,450144,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO
20,2504,22,1188,360189,MADISON COUNTY HOSPITAL INC
108,2622,23,2265,60118,ST ANTHONY SUMMIT MEDICAL CENTER
30,2536,24,2340,30132,"FLORENCE HOSPITAL AT ANTHEM, LLC"
27,2772,25,2353,30120,GILBERT HOSPITAL
38,1600,25,2577,50710,KAISER FOUNDATION HOSPITAL - FRESNO
110,2716,25,2205,450808,NORTHWEST HILLS SURGICAL HOSPITAL
60,2508,25,1628,140100,MIDWESTERN REGION MED CENTER
11,2155,29,760,110130,IRWIN COUNTY HOSPITAL
21,2667,30,1978,370172,CHOCTAW NATION HEALTH SERVICES AUTHORITY
31,1,31,2223,450796,NORTHWEST TEXAS SURGERY CENTER
34,2699,31,2024,450889,TEXAS INSTITUTE FOR SURGERY AT PRESBYTERIAN HOSPIT
25,1,31,1596,430096,LEWIS AND CLARK SPECIALTY HOSPITAL
23,2746,31,2685,50697,PATIENTS' HOSPITAL OF REDDING
43,2362,35,2693,120028,NORTH HAWAII COMMUNITY HOSPITAL
29,2725,36,2001,450874,BAYLOR SURGICAL HOSPITAL AT LAS COLINAS
28,2754,37,2154,450834,"PHYSICIANS CENTRE,THE"
40,2397,37,733,110111,UNIVERSITY MCDUFFIE COUNTY REGIONAL MEDICAL CENTER
33,2782,37,789,100313,SACRED HEART HOSPITAL ON THE GULF
68,1344,37,2625,50510,KAISER FOUNDATION HOSPITAL
48,1498,41,2421,50138,KAISER FOUNDATION HOSPITAL - LOS ANGELES
17,1,41,1889,190297,DOCTORS HOSPITAL AT DEER CREEK LLC
50,1034,43,2322,460017,BRIGHAM CITY COMMUNITY HOSPITAL
47,1309,44,2467,50137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY
65,1961,45,2590,50070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO
80,2643,45,2086,670085,TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE
62,2779,47,1333,150177,UNITY MEDICAL AND SURGICAL HOSPITAL
64,1555,47,2645,50748,KAISER FOUNDATION HOSPITAL MANTECA
83,1813,47,2654,50690,KAISER FOUNDATION HOSPITAL-SANTA ROSA
63,882,47,2316,460030,ASHLEY REGIONAL MEDICAL CENTER
123,2508,51,433,390312,CANCER TREATMENT CENTERS OF AMERICA
39,2317,52,1953,370138,MEMORIAL HOSPITAL OF TEXAS COUNTY
129,2664,53,2061,450872,USMD HOSPITAL AT ARLINGTON L P
87,1213,54,2539,50744,ANAHEIM GLOBAL MEDICAL CENTER
78,1441,54,2589,50541,KAISER FOUNDATION HOSPITAL - REDWOOD CITY
70,882,56,2521,50686,"KAISER FOUNDATION HOSPITAL, RIVERSIDE"
111,2689,56,2303,130063,TREASURE VALLEY HOSPITAL
35,2725,56,1266,360362,TRIHEALTH EVENDALE HOSPITAL
61,2664,59,559,340148,NOVANT HEALTH MEDICAL PARK HOSPITAL
97,2280,59,2540,50609,KAISER FOUNDATION HOSPITAL - ANAHEIM
105,2504,61,2680,50434,COLUSA REGIONAL MEDICAL CENTER
51,2616,62,12,220058,CLINTON HOSPITAL ASSOCIATION
41,2736,62,2139,450860,SUGAR LAND SURGICAL HOSPITAL LLP
53,2667,64,2225,450369,CHILDRESS REGIONAL MEDICAL CENTER
36,841,64,290,330111,BERTRAND CHAFFEE HOSPITAL
99,1441,66,2670,50767,KAISER FOUNDATION HOSPITAL - VACAVILLE
75,1734,66,2473,50723,KAISER FOUNDATION HOSPITAL - BALDWIN PARK
201,2504,68,2583,50189,GEORGE L MEE MEMORIAL HOSPITAL
86,574,68,1008,440111,METRO NASHVILLE GENERAL HOSPITAL
52,2777,70,1936,370192,NORTHWEST SURGICAL HOSPITAL
76,1,71,2091,450586,SEYMOUR HOSPITAL
89,1153,71,2575,50192,ADVENTIST MEDICAL CENTER - REEDLEY
57,2691,73,2765,500148,CONFLUENCE HEALTH- WENATCHEE VALLEY HOSP & CLINICS
100,1852,73,1318,150166,PINNACLE HOSPITAL
152,2587,75,2341,30130,BANNER IRONWOOD MEDICAL CENTER
157,1812,76,2504,50423,PALO VERDE HOSPITAL
113,2695,76,1959,370228,"BAILEY MEDICAL CENTER, LLC"
45,1,78,308,330144,"IRA DAVENPORT MEMORIAL HOSPITAL, INC"
142,1498,78,2594,50076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO
176,1211,78,2650,50067,OAK VALLEY DISTRICT HOSPITAL
49,2397,81,1666,140300,PROVIDENT HOSPITAL OF CHICAGO
42,2736,82,2008,670076,HERITAGE PARK SURGICAL HOSPITAL
