cost,costval,income,incomeval,quality,insured,colorhosp,code,procedure_code,description,,,,,
12.92863636,284.43,491.973913,56577,2,70,1,123,,,site_id,avgAmount,procedure_code,description,meanIncome
16.52863636,363.63,479.5565217,55149,5,75,2,444,,,111,284.43,74183,Mri abdomen w/o & w/dye,
11.36886364,250.115,670.0434783,77055,5,75,2,444,,,112,363.63,74183,Mri abdomen w/o & w/dye,
16.19181818,356.22,531.6521739,61140,6,66,3,444,,,124,250.115,74183,Mri abdomen w/o & w/dye,
2.026590909,44.585,531.6521739,61140,6,49,4,44,,,127,356.22,74183,Mri abdomen w/o & w/dye,
2.944090909,64.77,531.6521739,61140,4,55,5,44,,,127,44.585,74183,Mri abdomen w/o & w/dye,
3.088181818,67.94,531.6521739,61140,4,55,,,,,127,64.77,74183,Mri abdomen w/o & w/dye,
4.053181818,89.17,531.6521739,61140,4,55,,,,,127,67.94,74183,Mri abdomen w/o & w/dye,
85.98454545,1891.66,531.6521739,61140,4,55,,,,,127,89.17,74183,Mri abdomen w/o & w/dye,
9.567954545,210.495,531.6521739,61140,4,55,,,,,130,1891.66,74183,Mri abdomen w/o & w/dye,
16.19181818,356.22,531.6521739,61140,4,55,,,,,130,210.495,74183,Mri abdomen w/o & w/dye,
3.088181818,67.94,531.6521739,61140,4,55,,,,,130,356.22,74183,Mri abdomen w/o & w/dye,
10.37886364,228.335,480.6956522,55280,4,55,,,,,130,67.94,74183,Mri abdomen w/o & w/dye,
67.61818182,1487.6,666.7217391,76673,4,55,,,,,135,228.335,74183,Mri abdomen w/o & w/dye,
22.17363636,487.82,666.7217391,76673,4,55,,,,,146,1487.6,74183,Mri abdomen w/o & w/dye,
3.242727273,71.34,666.7217391,76673,4,55,,,,,146,487.82,74183,Mri abdomen w/o & w/dye,
4.053181818,89.17,666.7217391,76673,4,55,,,,,146,71.34,74183,Mri abdomen w/o & w/dye,
14.85863636,326.89,567.6086957,65275,4,55,,,,,146,89.17,74183,Mri abdomen w/o & w/dye,
16.46090909,362.14,567.6086957,65275,4,55,,,,,152,326.89,74183,Mri abdomen w/o & w/dye,
3.088181818,67.94,567.6086957,65275,4,55,,,,,152,362.14,74183,Mri abdomen w/o & w/dye,
3.326818182,73.19,567.6086957,65275,4,55,,,,,152,67.94,74183,Mri abdomen w/o & w/dye,
65.94636364,1450.82,673.3391304,77434,4,55,,,,,152,73.19,74183,Mri abdomen w/o & w/dye,
34.99977273,769.995,673.3391304,77434,4,55,,,,,154,1450.82,74183,Mri abdomen w/o & w/dye,
11.36886364,250.115,666.7217391,76673,4,55,,,,,154,769.995,74183,Mri abdomen w/o & w/dye,
20.23909091,445.26,666.7217391,76673,4,55,,,,,156,250.115,74183,Mri abdomen w/o & w/dye,
3.088181818,67.94,666.7217391,76673,4,55,,,,,156,445.26,74183,Mri abdomen w/o & w/dye,
0,0,666.7217391,76673,4,55,,,,,156,67.94,74183,Mri abdomen w/o & w/dye,
2.944090909,64.77,666.7217391,76673,4,55,,,,,157,0,74183,Mri abdomen w/o & w/dye,
0,0,405.5913043,46643,4,55,,,,,157,64.77,74183,Mri abdomen w/o & w/dye,
5.186704545,114.1075,405.5913043,46643,4,55,,,,,158,0,74183,Mri abdomen w/o & w/dye,
5.42625,119.3775,405.5913043,46643,4,55,,,,,158,114.1075,74183,Mri abdomen w/o & w/dye,
5.722272727,125.89,405.5913043,46643,4,55,,,,,158,119.3775,74183,Mri abdomen w/o & w/dye,
6.466704545,142.2675,405.5913043,46643,4,55,,,,,158,125.89,74183,Mri abdomen w/o & w/dye,
6.516363636,143.36,405.5913043,46643,4,55,,,,,158,142.2675,74183,Mri abdomen w/o & w/dye,
6.963636364,153.2,405.5913043,46643,4,55,,,,,158,143.36,74183,Mri abdomen w/o & w/dye,
7.256212091,159.636666,405.5913043,46643,4,55,,,,,158,153.2,74183,Mri abdomen w/o & w/dye,
7.366666636,162.066666,405.5913043,46643,4,55,,,,,158,159.636666,74183,Mri abdomen w/o & w/dye,
7.611515136,167.453333,405.5913043,46643,4,55,,,,,158,162.066666,74183,Mri abdomen w/o & w/dye,
7.803484818,171.676666,405.5913043,46643,4,55,,,,,158,167.453333,74183,Mri abdomen w/o & w/dye,
8.438030273,185.636666,405.5913043,46643,4,55,,,,,158,171.676666,74183,Mri abdomen w/o & w/dye,
8.667045455,190.675,405.5913043,46643,4,55,,,,,158,185.636666,74183,Mri abdomen w/o & w/dye,
8.797272727,193.54,405.5913043,46643,4,55,,,,,158,190.675,74183,Mri abdomen w/o & w/dye,
8.901363636,195.83,405.5913043,46643,4,55,,,,,158,193.54,74183,Mri abdomen w/o & w/dye,
9.019772727,198.435,405.5913043,46643,4,55,,,,,158,195.83,74183,Mri abdomen w/o & w/dye,
9.244565182,203.380434,405.5913043,46643,4,55,,,,,158,198.435,74183,Mri abdomen w/o & w/dye,
9.483484818,208.636666,405.5913043,46643,4,55,,,,,158,203.380434,74183,Mri abdomen w/o & w/dye,
10.36103895,227.942857,405.5913043,46643,4,55,,,,,158,208.636666,74183,Mri abdomen w/o & w/dye,
10.78045455,237.17,405.5913043,46643,4,55,,,,,158,227.942857,74183,Mri abdomen w/o & w/dye,
11.05757573,243.266666,405.5913043,46643,4,55,,,,,158,237.17,74183,Mri abdomen w/o & w/dye,
11.30036364,248.608,405.5913043,46643,4,55,,,,,158,243.266666,74183,Mri abdomen w/o & w/dye,
11.39840909,250.765,405.5913043,46643,4,55,,,,,158,248.608,74183,Mri abdomen w/o & w/dye,
11.45727273,252.06,405.5913043,46643,4,55,,,,,158,250.765,74183,Mri abdomen w/o & w/dye,
11.58575755,254.886666,405.5913043,46643,4,55,,,,,158,252.06,74183,Mri abdomen w/o & w/dye,
11.6675,256.685,405.5913043,46643,4,55,,,,,158,254.886666,74183,Mri abdomen w/o & w/dye,
11.76727273,258.88,405.5913043,46643,4,55,,,,,158,256.685,74183,Mri abdomen w/o & w/dye,
11.83431818,260.355,405.5913043,46643,4,55,,,,,158,258.88,74183,Mri abdomen w/o & w/dye,
11.93045455,262.47,405.5913043,46643,4,55,,,,,158,260.355,74183,Mri abdomen w/o & w/dye,
11.99489305,263.887647,405.5913043,46643,4,55,,,,,158,262.47,74183,Mri abdomen w/o & w/dye,
12.04931818,265.085,405.5913043,46643,4,55,,,,,158,263.887647,74183,Mri abdomen w/o & w/dye,
12.29424241,270.473333,405.5913043,46643,4,55,,,,,158,265.085,74183,Mri abdomen w/o & w/dye,
12.92863636,284.43,405.5913043,46643,4,55,,,,,158,270.473333,74183,Mri abdomen w/o & w/dye,
13.34508414,293.591851,405.5913043,46643,4,55,,,,,158,284.43,74183,Mri abdomen w/o & w/dye,
13.96261364,307.1775,405.5913043,46643,4,55,,,,,158,293.591851,74183,Mri abdomen w/o & w/dye,
1.472045455,32.385,405.5913043,46643,4,55,,,,,158,307.1775,74183,Mri abdomen w/o & w/dye,
14.62727273,321.8,405.5913043,46643,4,55,,,,,158,32.385,74183,Mri abdomen w/o & w/dye,
14.85863636,326.89,405.5913043,46643,4,55,,,,,158,321.8,74183,Mri abdomen w/o & w/dye,
15.35863636,337.89,405.5913043,46643,4,55,,,,,158,326.89,74183,Mri abdomen w/o & w/dye,
1.590454545,34.99,405.5913043,46643,4,55,,,,,158,337.89,74183,Mri abdomen w/o & w/dye,
15.62790909,343.814,405.5913043,46643,4,55,,,,,158,34.99,74183,Mri abdomen w/o & w/dye,
15.90977273,350.015,405.5913043,46643,4,55,,,,,158,343.814,74183,Mri abdomen w/o & w/dye,
16.07295455,353.605,405.5913043,46643,4,55,,,,,158,350.015,74183,Mri abdomen w/o & w/dye,
16.325,359.15,405.5913043,46643,4,55,,,,,158,353.605,74183,Mri abdomen w/o & w/dye,
16.46090909,362.14,405.5913043,46643,4,55,,,,,158,359.15,74183,Mri abdomen w/o & w/dye,
16.95454545,373,405.5913043,46643,4,55,,,,,158,362.14,74183,Mri abdomen w/o & w/dye,
17.17909091,377.94,405.5913043,46643,4,55,,,,,158,373,74183,Mri abdomen w/o & w/dye,
17.28727273,380.32,405.5913043,46643,4,55,,,,,158,377.94,74183,Mri abdomen w/o & w/dye,
