cost,discharge,quality,quality_care,quality_efficiency,patexp,outcome,provider_id,provider
0.503389153,474,0.217142857,0.4,0,0.24,NULL,330086,MONTEFIORE MOUNT VERNON HOSPITAL
0.304736759,479,0.327333333,0.366666667,0.4,0.08,0.5,330396,WOODHULL MEDICAL AND MENTAL HEALTH CENTER
0.092150398,488,0.3545,0.4125,0.4,0.64,0,490123,RAPPAHANNOCK GENERAL HOSPITAL
0.609617102,515,0.268111111,0.355555556,0.1,0.19,0.4,370097,SOUTHWESTERN MEDICAL CENTER
0.194079389,520,0.4135,0.5375,0.6,0.27,0.35,120004,WAHIAWA GENERAL HOSPITAL
0.887084428,530,0.314181818,0.690909091,0.1,0.27,0.25,450716,CYPRESS FAIRBANKS MEDICAL CENTER
0.130615468,532,0.460555556,0.277777778,0.5,0.45,0.566666667,240044,WINONA HEALTH SERVICES
0.627537985,537,0.367166667,0.433333333,0,0.21,0.725,50597,FOOTHILL PRESBYTERIAN HOSPITAL
0.889856852,540,0.2775,0.3125,0,0.05,0.666666667,50727,COMMUNITY HOSPITAL OF LONG BEACH
0.11425219,547,0.363,0.4,0.2,0.56,0.25,60006,MONTROSE MEMORIAL HOSPITAL
0.676080712,547,0.212333333,0.166666667,0,0.23,0.366666667,190014,TECHE REGIONAL MEDICAL CENTER
0.223041099,556,0.512,0.6,0.4,0.04,1,330240,HARLEM HOSPITAL CENTER
0.257572703,558,0.235333333,0.566666667,0,0.24,0.166666667,10101,CITIZENS BAPTIST MEDICAL CENTER
0.273893414,561,0.540666667,0.533333333,0.4,0.58,0.6,360210,GRADY MEMORIAL HOSPITAL
0.538447946,566,0.454666667,0.333333333,0.8,0.36,0.4,490092,SOUTHAMPTON MEMORIAL HOSPITAL
0.259393279,571,0.3095,0.49,0,0.33,0.375,460041,DAVIS HOSPITAL AND MEDICAL CENTER
0.181243384,573,0.318333333,0.266666667,0.5,0.05,0.5,330199,METROPOLITAN HOSPITAL CENTER
0.04451321,576,0.359444444,0.522222222,0,0.4,0.45,150061,DAVIESS COMMUNITY HOSPITAL
0.586845696,576,0.391222222,0.911111111,0,0.13,0.566666667,140095,SAINT ANTHONY HOSPITAL
0.258342087,581,0.380777778,0.588888889,0,0.41,0.466666667,440056,TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL
0.910760424,581,0.381333333,0.166666667,0.5,0.36,0.466666667,50136,PETALUMA VALLEY HOSPITAL
0.530398679,585,0.494,0.4,0.3,0.28,0.9,330397,INTERFAITH MEDICAL CENTER
0.490112593,590,0.659,0.42,1,0.55,0.7,20012,FAIRBANKS MEMORIAL HOSPITAL
0.063401692,593,0.493444444,0.922222222,1,0.23,0.133333333,330223,MASSENA MEMORIAL HOSPITAL
0.243760692,601,0.495222222,0.711111111,0.4,0.51,0.4,200037,FRANKLIN MEMORIAL HOSPITAL
0.615916137,603,0.310666667,0.333333333,0.2,0.18,0.5,100121,BARTOW REGIONAL MEDICAL CENTER
0.089837677,607,0.591111111,0.755555556,0.7,0.8,0.2,200031,CARY MEDICAL CENTER
0.909325856,607,0.609444444,0.922222222,0.2,0.65,0.633333333,100054,TWIN CITIES HOSPITAL
0.574152343,608,0.262111111,0.655555556,0.4,0.17,0,50359,TULARE REGIONAL MEDICAL CENTER
0.107655359,615,0.272555556,0.477777778,0.4,0.09,0.233333333,330003,ALBANY MEMORIAL HOSPITAL
0.711475414,615,0.414,0.66,0.1,0.64,0.233333333,450828,CHRISTUS SPOHN HOSPITAL ALICE
0.876280413,616,0.463777778,0.688888889,0.3,0.22,0.666666667,50101,SUTTER SOLANO MEDICAL CENTER
0.809349251,620,0.248222222,0.611111111,0,0.17,0.25,100107,LEHIGH REGIONAL MEDICAL CENTER
0.811514896,621,0.525388889,0.944444444,0.4,0.78,0.075,100314,WEST KENDALL BAPTIST HOSPITAL
0.12595041,623,0.593,1,0.6,0.51,0.4,490084,RIVERSIDE TAPPAHANNOCK HOSPITAL
0.40599071,623,0.552333333,0.566666667,0.5,0.58,0.55,440184,FRANKLIN WOODS COMMUNITY HOSPITAL
0.956939185,624,0.322,0.5,0.2,0.34,0.266666667,50688,SAINT LOUISE REGIONAL HOSPITAL
0.180114146,626,0.642111111,0.855555556,0.6,0.72,0.45,200050,MAINE COAST MEMORIAL HOSPITAL
0.217234907,629,0.519333333,0.866666667,0.8,0.52,0.1,520019,MINISTRY SAINT MARYS HOSPITAL
0.41467636,632,0.421222222,0.711111111,0,0.43,0.5,490140,"STAFFORD HOSPITAL, LLC"
0.111165176,632,0.577857143,0.714285714,0.9,0.55,0.3,340120,VIDANT DUPLIN  HOSPITAL
0.491683375,632,0.459111111,0.555555556,0,0.41,0.75,110201,COLISEUM NORTHSIDE HOSPITAL
0.684890403,642,0.292863636,0.481818182,0.3,0.13,0.325,50149,CALIFORNIA HOSPITAL MEDICAL CENTER LA
0.281182921,645,0.412888889,0.644444444,0.7,0.28,0.2,200018,AROOSTOOK MEDICAL CENTER
0.13771513,646,0.605222222,0.811111111,0.2,0.81,0.533333333,440130,BAPTIST MEMORIAL HOSPITAL UNION CITY
0.780856223,646,0.301,0.5,0,0.27,0.4,490097,SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER
0.473247751,647,0.402222222,0.711111111,0,0.5,0.366666667,360360,"SOIN MEDICAL CENTER,INDU & RAJ SOIN MEDICAL CENTER"
0.355112374,647,0.290545455,0.572727273,0,0.42,0.166666667,450024,UNIVERSITY MEDICAL CENTER OF EL PASO
0.426592888,647,0.362666667,0.433333333,0.1,0.42,0.433333333,100140,BAPTIST MEDICAL CENTER - NASSAU
0.150161676,649,0.2485,0.2,0,0.27,0.425,360040,KNOX COMMUNITY HOSPITAL
0.834774783,652,0.224722222,0.311111111,0.1,0.35,0.125,50078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO
0.707182227,653,0.165777778,0.188888889,0,0.26,0.166666667,50588,SAN DIMAS COMMUNITY HOSPITAL
0.043518223,657,0.64,0.575,0.3,0.95,0.6,250057,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN
0.820422471,659,0.578944444,0.922222222,0.3,0.49,0.625,50313,SUTTER TRACY COMMUNITY HOSPITAL
0.221260142,662,0.403333333,0.366666667,0,0.6,0.5,390043,SOLDIERS AND SAILORS MEMORIAL HOSPITAL
0.038555825,662,0.5445,0.53,1,0.32,0.475,160001,MARSHALLTOWN MEDICAL & SURGICAL CENTER
0.074468012,663,0.548666667,0.333333333,0.6,0.64,0.566666667,230035,SPECTRUM HEALTH UNITED MEMORIAL - UNITED CAMPUS
0.191883768,665,0.497,0.4,0.8,0.59,0.266666667,520071,FORT MEMORIAL HOSPITAL
0.571931437,665,0.404888889,0.344444444,0,0.82,0.3,250025,MERIT HEALTH GILMORE MEMORIAL
