cost,costval,quality,incomeval,income,insured,adjudicated_location_id,description,procedure_code,no_procedures,provider
1,1.00,0.411842105,1,1,0,,,,,FLORIDA HOSPITAL
0.999342105,1.00,0.774013158,1,0.999671053,0,,,,,NEW YORK-PRESBYTERIAN HOSPITAL
0.984539474,1.00,0.665789474,1,0.999342105,0,,,,,"CHRISTIANA CARE HEALTH SERVICES, INC."
0.988815789,1.00,0.648684211,1,0.999013158,0,,,,,"BEAUMONT HOSPITAL, ROYAL OAK"
0.998355263,1.00,0.1625,1,0.998684211,0,,,,,METHODIST HOSPITAL
0.999013158,1.00,0.129605263,1,0.998355263,0,,,,,YALE-NEW HAVEN HOSPITAL
0.992105263,1.00,0.603289474,1,0.998026316,0,,,,,METHODIST HEALTHCARE MEMPHIS HOSPITALS
0.991776316,1.00,0.250657895,1,0.997697368,0,,,,,NORTON HOSPITAL/NORTON MEDICAL PAVILIONS/KOSAIR CH
0.958552632,1.00,0.597039474,1,0.997368421,0,,,,,"SOUTHCOAST HOSPITAL GROUP, INC"
0.966118421,1.00,0.863815789,1,0.997039474,0,,,,,MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE
0.965460526,1.00,0.659210526,1,0.996710526,0,,,,,NEW HANOVER REGIONAL MEDICAL CENTER
0.985526316,1.00,0.578618421,1,0.996381579,0,,,,,VIDANT MEDICAL CENTER
0.982894737,1.00,0.391776316,1,0.996052632,0,,,,,MEMORIAL HERMANN HOSPITAL SYSTEM
0.996052632,1.00,0.295394737,1,0.995723684,0,,,,,BAPTIST MEDICAL CENTER
0.990131579,1.00,0.787828947,1,0.995394737,0,,,,,AURORA ST LUKES MEDICAL CENTER
0.997697368,1.00,0.210526316,1,0.995065789,0,,,,,MONTEFIORE MEDICAL CENTER
0.991447368,1.00,0.412828947,1,0.994736842,0,,,,,HUNTSVILLE HOSPITAL
0.999671053,1.00,0.722039474,1,0.994407895,0,,,,,CEDARS-SINAI MEDICAL CENTER
0.997039474,1.00,0.381907895,1,0.994078947,0,,,,,NORTH SHORE UNIVERSITY HOSPITAL
0.99375,1.00,0.196052632,1,0.99375,0,,,,,BETH ISRAEL MEDICAL CENTER
0.998684211,1.00,0.724342105,1,0.993421053,0,,,,,VIRTUA WEST JERSEY HOSPITALS BERLIN
0.983552632,1.00,0.473684211,1,0.993092105,0,,,,,MOUNT SINAI HOSPITAL
0.978618421,1.00,0.104605263,1,0.992763158,0,,,,,NAPLES COMMUNITY HOSPITAL
0.983881579,1.00,0.669736842,1,0.992434211,0,,,,,EVANSTON HOSPITAL
0.915460526,1.00,0.772697368,1,0.992105263,0,,,,,"MOSES H CONE MEMORIAL HOSPITAL, THE"
0.994736842,1.00,0.695394737,1,0.991776316,0,,,,,MASSACHUSETTS GENERAL HOSPITAL
0.994078947,1.00,0.220723684,1,0.991447368,0,,,,,COMMUNITY MEDICAL CENTER
0.973026316,1.00,0.595065789,1,0.991118421,0,,,,,BARNES JEWISH HOSPITAL
0.987828947,1.00,0.185855263,1,0.990789474,0,,,,,MEDSTAR WASHINGTON HOSPITAL CENTER
0.934210526,1.00,0.399013158,1,0.990460526,0,,,,,PROVIDENCE HOSPITAL AND MEDICAL CENTERS
0.925,1.00,0.501644737,1,0.990131579,0,,,,,SPECTRUM HEALTH - BUTTERWORTH CAMPUS
0.95625,1.00,0.093421053,1,0.989802632,0,,,,,JEWISH HOSPITAL & ST MARY'S HEALTHCARE
0.908881579,1.00,0.528289474,1,0.989473684,0,,,,,JACKSON-MADISON COUNTY GENERAL HOSPITAL
0.981578947,1.00,0.198684211,1,0.989144737,0,,,,,BAPTIST MEMORIAL HOSPITAL
0.953289474,1.00,0.726973684,1,0.988815789,0,,,,,"BEAUMONT HOSPITAL, TROY"
0.994407895,1.00,0.362171053,1,0.988486842,0,,,,,LEHIGH VALLEY HOSPITAL
0.933881579,1.00,0.973355263,1,0.988157895,0,,,,,FIRSTHEALTH MOORE REGIONAL HOSPITAL
0.985197368,1.00,0.706578947,1,0.987828947,0,,,,,CLEVELAND CLINIC
0.972368421,1.00,0.534210526,1,0.9875,0,,,,,RIVERSIDE METHODIST HOSPITAL
0.947368421,1.00,0.278947368,1,0.987171053,0,,,,,CHARLESTON AREA MEDICAL CENTER
0.924342105,1.00,0.018421053,1,0.986842105,0,,,,,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER
0.88125,1.00,0.486842105,1,0.986513158,0,,,,,"CENTRA  HEALTH, INC"
0.9875,1.00,0.146052632,1,0.986184211,0,,,,,INDIANA UNIVERSITY HEALTH
0.945723684,1.00,0.757565789,1,0.985855263,0,,,,,"MEMORIAL HEALTHCARE SYSTEM, INC"
0.946710526,1.00,0.052302632,1,0.985526316,0,,,,,CARILION ROANOKE MEMORIAL HOSPITAL
0.965789474,1.00,0.390460526,1,0.985197368,0,,,,,D C H REGIONAL MEDICAL CENTER
0.978947368,1.00,0.469736842,1,0.984868421,0,,,,,CAPE FEAR VALLEY MEDICAL CENTER
0.995394737,1.00,0.697697368,1,0.984539474,0,,,,,NORTH FLORIDA REGIONAL MEDICAL CENTER
0.986184211,1.00,0.677302632,1,0.984210526,0,,,,,VALLEY HOSPITAL
0.993421053,1.00,0.642105263,1,0.983881579,0,,,,,KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV
0.930263158,1.00,0.035197368,1,0.983552632,0,,,,,"SAINT FRANCIS HOSPITAL, INC"
0.904934211,1.00,0.585855263,1,0.983223684,0,,,,,BAYSTATE MEDICAL CENTER
0.973684211,1.00,0.074013158,1,0.982894737,0,,,,,"VIA CHRISTI HOSPITALS WICHITA, INC"
0.992434211,1.00,0.534868421,1,0.982565789,0,,,,,"METHODIST HOSPITAL,THE"
0.977302632,1.00,0.325986842,1,0.982236842,0,,,,,LEE MEMORIAL HOSPITAL
0.98125,1.00,0.131907895,1,0.981907895,0,,,,,LAKELAND REGIONAL MEDICAL CENTER
0.975657895,1.00,0.795065789,1,0.981578947,0,,,,,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER
0.989802632,1.00,0.343092105,1,0.98125,0,,,,,MORRISTOWN MEDICAL CENTER
0.961184211,1.00,0.2875,1,0.980921053,0,,,,,HARTFORD HOSPITAL
0.950328947,1.00,0.252302632,1,0.980592105,0,,,,,OAKWOOD HOSPITAL - DEARBORN
0.975328947,1.00,0.294407895,1,0.979934211,0,,,,,WELLSTAR KENNESTONE HOSPITAL
0.960197368,1.00,0.389144737,1,0.979934211,0,,,,,WILLIS KNIGHTON MEDICAL CENTER
0.916118421,1.00,0.396381579,1,0.979605263,0,,,,,NOVANT HEALTH FORSYTH MEDICAL CENTER
0.952960526,1.00,0.740131579,1,0.979276316,0,,,,,MERCY HOSPITAL SPRINGFIELD
0.931907895,1.00,0.310526316,1,0.978947368,0,,,,,LANCASTER GENERAL HOSPITAL
0.991118421,1.00,0.020394737,1,0.978289474,0,,,,,ORLANDO HEALTH
0.978289474,1.00,0.558881579,1,0.978289474,0,,,,,ABBOTT NORTHWESTERN HOSPITAL
0.927960526,1.00,0.735855263,1,0.977960526,0,,,,,ST JOSEPH MERCY HOSPITAL
0.997368421,1.00,0.709210526,1,0.977631579,0,,,,,UPMC PRESBYTERIAN SHADYSIDE
0.946381579,1.00,0.061842105,1,0.977302632,0,,,,,MERCY MEDICAL CENTER-DES MOINES
0.936184211,1.00,0.866118421,1,0.976973684,0,,,,,MAYO CLINIC HOSPITAL ROCHESTER
0.952302632,1.00,0.692105263,1,0.976644737,0,,,,,SARASOTA MEMORIAL HOSPITAL
0.955921053,1.00,0.457565789,1,0.976315789,0,,,,,ST VINCENT'S MEDICAL CENTER
0.998026316,1.00,0.352631579,1,0.975986842,0,,,,,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV
0.891118421,1.00,0.799013158,1,0.975657895,0,,,,,ST JOSEPH'S HOSPITAL HEALTH CENTER
0.944736842,1.00,0.246710526,1,0.975,0,,,,,MEMORIAL MEDICAL CENTER
0.905592105,1.00,0.797368421,1,0.975,0,,,,,BAPTIST HEALTH LOUISVILLE
0.930921053,1.00,0.268421053,1,0.974671053,0,,,,,COVENANT MEDICAL CENTER
0.929934211,1.00,0.749013158,1,0.974342105,0,,,,,SCOTT & WHITE MEMORIAL HOSPITAL
0.962828947,1.00,0.397039474,1,0.974013158,0,,,,,"WAKEMED, RALEIGH CAMPUS"
0.956907895,1.00,0.257565789,1,0.973684211,0,,,,,ST FRANCIS HOSPITAL & MEDICAL CENTER
0.895065789,1.00,0.897039474,1,0.973355263,0,,,,,NORTH MISSISSIPPI MEDICAL CENTER
0.996710526,1.00,0.367434211,1,0.973026316,0,,,,,HACKENSACK UNIVERSITY MEDICAL CENTER
0.996381579,1.00,0.140131579,1,0.972368421,0,,,,,CJW MEDICAL CENTER
0.94375,1.00,0.137171053,1,0.972368421,0,,,,,BAYLOR UNIVERSITY MEDICAL CENTER
0.928618421,1.00,0.103618421,1,0.972039474,0,,,,,DEACONESS HOSPITAL INC
0.962171053,1.00,0.416447368,1,0.971710526,0,,,,,TEXAS HEALTH HARRIS METHODIST FORT WORTH
0.982565789,1.00,0.323355263,1,0.971052632,0,,,,,MAIMONIDES MEDICAL CENTER
0.883881579,1.00,0.266118421,1,0.971052632,0,,,,,WINCHESTER MEDICAL CENTER
0.956578947,1.00,0.811184211,1,0.970723684,0,,,,,"NORTHEAST GEORGIA MEDICAL CENTER, INC"
0.881578947,1.00,0.194407895,1,0.970394737,0,,,,,ST JOHN HOSPITAL AND MEDICAL CENTER
0.977960526,1.00,0.452960526,1,0.970065789,0,,,,,PRESENCE SAINT JOSEPH MEDICAL CENTER
0.912171053,1.00,0.010526316,1,0.969736842,0,,,,,INOVA FAIRFAX HOSPITAL
0.906578947,1.00,0.433881579,1,0.969407895,0,,,,,KALEIDA HEALTH
0.979605263,1.00,0.183223684,1,0.969078947,0,,,,,NORTHWESTERN MEMORIAL HOSPITAL
0.963486842,1.00,0.055592105,1,0.96875,0,,,,,GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM
0.917105263,1.00,0.425986842,1,0.968421053,0,,,,,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
0.954276316,1.00,0.077302632,1,0.968092105,0,,,,,MUNROE REGIONAL MEDICAL CENTER
0.885526316,1.00,0.164802632,1,0.967763158,0,,,,,"ST JOHN MEDICAL CENTER, INC"
0.990789474,1.00,0.657565789,1,0.967434211,0,,,,,THOMAS JEFFERSON UNIVERSITY HOSPITAL
0.882894737,1.00,0.201644737,1,0.967105263,0,,,,,FORREST GENERAL HOSPITAL
0.942763158,1.00,0.279934211,1,0.966776316,0,,,,,EDWARD W SPARROW HOSPITAL
0.902960526,1.00,0.711184211,1,0.966447368,0,,,,,REX HOSPITAL
0.943092105,1.00,0.361184211,1,0.966118421,0,,,,,UMASS MEMORIAL MEDICAL CENTER INC
0.897368421,1.00,0.712828947,1,0.965789474,0,,,,,COMMUNITY HOSPITAL
0.914144737,1.00,0.134210526,1,0.965460526,0,,,,,MCLAREN FLINT
0.969078947,1.00,0.2125,1,0.965131579,0,,,,,BAPTIST MEDICAL CENTER
0.957894737,1.00,0.130592105,1,0.964802632,0,,,,,ST VINCENT HOSPITAL & HEALTH SERVICES
0.972697368,1.00,0.299671053,1,0.964473684,0,,,,,SAINT FRANCIS MEDICAL CENTER
0.971710526,1.00,0.11875,1,0.964144737,0,,,,,SAINT AGNES MEDICAL CENTER
0.941118421,1.00,0.770394737,1,0.963815789,0,,,,,ADVOCATE LUTHERAN GENERAL HOSPITAL
0.886513158,1.00,0.908223684,1,0.963486842,0,,,,,MUNSON MEDICAL CENTER
0.954934211,1.00,0.207236842,1,0.963157895,0,,,,,HOLMES REGIONAL MEDICAL CENTER
0.960855263,1.00,0.157236842,1,0.962828947,0,,,,,STATEN ISLAND UNIVERSITY HOSPITAL
0.923684211,1.00,0.723026316,1,0.9625,0,,,,,ST CLOUD HOSPITAL
0.903947368,1.00,0.173355263,1,0.962171053,0,,,,,NORTH CAROLINA BAPTIST HOSPITAL
0.896381579,1.00,0.065131579,1,0.961842105,0,,,,,HENRY FORD HOSPITAL
0.895723684,1.00,0.383223684,1,0.961513158,0,,,,,ST DOMINIC-JACKSON MEMORIAL HOSPITAL
0.971052632,1.00,0.140789474,1,0.961184211,0,,,,,MOTHER FRANCES HOSPITAL
0.826644737,1.00,0.872697368,1,0.960855263,0,,,,,SOUTH SHORE HOSPITAL
0.938815789,1.00,0.690789474,1,0.960526316,0,,,,,PALOS COMMUNITY HOSPITAL
0.927631579,1.00,0.545723684,1,0.960197368,0,,,,,"MARY WASHINGTON HOSPITAL, INC"
0.966447368,1.00,0.680263158,1,0.959868421,0,,,,,MCLEOD REGIONAL MEDICAL CENTER-PEE DEE
0.935855263,1.00,0.097697368,1,0.959539474,0,,,,,MEDICAL CENTER OF CENTRAL GEORGIA
0.983223684,1.00,0.616776316,1,0.959210526,0,,,,,BRIGHAM AND WOMEN'S HOSPITAL
0.903618421,1.00,0.525328947,1,0.958881579,0,,,,,COX MEDICAL CENTERS
0.876973684,1.00,0.790789474,1,0.958552632,0,,,,,KING'S DAUGHTERS' MEDICAL CENTER
0.890131579,1.00,0.943421053,1,0.958223684,0,,,,,CAROMONT REGIONAL MEDICAL CENTER
0.989144737,1.00,0.089802632,1,0.957894737,0,,,,,ST JOSEPH'S REGIONAL MEDICAL CENTER
0.951973684,1.00,0.375,1,0.957565789,0,,,,,ST JOSEPHS HOSPITAL
0.959539474,1.00,0.401973684,1,0.957236842,0,,,,,UNIVERSITY OF MICHIGAN HEALTH SYSTEM
0.947697368,1.00,0.478618421,1,0.956907895,0,,,,,CAROLINAS MEDICAL CENTER/BEHAV HEALTH
0.984868421,1.00,0.424013158,1,0.956578947,0,,,,,ABINGTON MEMORIAL HOSPITAL
0.915789474,1.00,0.177960526,1,0.95625,0,,,,,"VILLAGES REGIONAL HOSPITAL, THE"
0.990460526,1.00,0.508223684,1,0.955921053,0,,,,,COVENANT MEDICAL CENTER
0.936513158,1.00,0.333552632,1,0.955592105,0,,,,,UF HEALTH SHANDS HOSPITAL
0.851644737,1.00,0.291118421,1,0.955263158,0,,,,,YORK HOSPITAL
0.925328947,1.00,0.504605263,1,0.954934211,0,,,,,MISSISSIPPI BAPTIST MEDICAL CENTER
0.967434211,1.00,0.38125,1,0.954605263,0,,,,,OHIO STATE UNIVERSITY HOSPITALS
0.842763158,1.00,0.063815789,1,0.954276316,0,,,,,MOUNT CARMEL WEST
0.916447368,1.00,0.500986842,1,0.953947368,0,,,,,SAINT THOMAS WEST HOSPITAL
0.959868421,1.00,0.847368421,1,0.953618421,0,,,,,UNIVERSITY OF ALABAMA HOSPITAL
0.913815789,1.00,0.446381579,1,0.953289474,0,,,,,NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS
0.995723684,1.00,0.085526316,1,0.952960526,0,,,,,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL
0.931578947,1.00,0.719407895,1,0.952631579,0,,,,,STORMONT-VAIL HEALTHCARE
0.958881579,1.00,0.871052632,1,0.952302632,0,,,,,DUKE UNIVERSITY HOSPITAL
0.987171053,1.00,0.558881579,1,0.951973684,0,,,,,JFK MEDICAL CENTER
0.921052632,1.00,0.619078947,1,0.951644737,0,,,,,READING HOSPITAL
0.877302632,1.00,0.439473684,1,0.951315789,0,,,,,MOBILE INFIRMARY
0.965131579,1.00,0.2625,1,0.950986842,0,,,,,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI
0.843421053,1.00,0.729934211,1,0.950657895,0,,,,,MISSOURI BAPTIST MEDICAL CENTER
0.971381579,1.00,0.094736842,1,0.950328947,0,,,,,UNIVERSITY HOSPITAL ( STONY BROOK )
0.988157895,1.00,0.627631579,1,0.95,0,,,,,CLEAR LAKE REGIONAL MEDICAL CENTER
0.989473684,1.00,0.274342105,1,0.949671053,0,,,,,JERSEY SHORE UNIVERSITY MEDICAL CENTER
0.954605263,1.00,0.246710526,1,0.949342105,0,,,,,SOUTH NASSAU COMMUNITIES HOSPITAL
0.985855263,1.00,0.344078947,1,0.948684211,0,,,,,WINTHROP-UNIVERSITY HOSPITAL
0.917434211,1.00,0.523684211,1,0.948684211,0,,,,,SPARTANBURG REGIONAL MEDICAL CENTER
0.791776316,1.00,0.391776316,1,0.948355263,0,,,,,CAPE COD HOSPITAL
0.875657895,1.00,0.816118421,1,0.948026316,0,,,,,ST ELIZABETH MEDICAL CENTER
0.992763158,1.00,0.747368421,1,0.947697368,0,,,,,EISENHOWER MEDICAL CENTER
0.832565789,1.00,0.111842105,1,0.947368421,0,,,,,ST ANTHONY'S MEDICAL CENTER
0.988486842,1.00,0.423355263,1,0.947039474,0,,,,,EAST TEXAS MEDICAL CENTER
0.921381579,1.00,0.283223684,1,0.946710526,0,,,,,BOCA RATON REGIONAL HOSPITAL
