cost,quality,discharge,income,provider_id,provider
0.000718907,0.832494608,0,0.661754134,190006,UNIVERSITY HOSPITAL & CLINICS
0,0.979151689,0,0.675413372,190257,GREEN CLINIC SURGICAL HOSPITAL
0.011143063,0.901150252,0,0.70596693,370190,"SOUTHWESTERN REGIONAL MEDICAL CENTER, INC"
0.000359454,0.918044572,0,0.796549245,450221,MOORE COUNTY HOSPITAL DISTRICT
0.002875629,0.926671459,0.001437815,0.174335011,490143,RIVERSIDE DOCTORS' HOSPITAL OF WILLIAMSBURG
0.003235083,0.537383178,0.001797268,0.906542056,50765,KAISER FOUNDATION HOSPITAL-MORENO VALLEY
0.001078361,0.135873472,0.001797268,0.934219986,50113,SAN MATEO MEDICAL CENTER
0.004672897,0.966930266,0.002516175,0.750179727,450883,BAYLOR MEDICAL CENTER AT TROPHY CLUB
0.004313444,0.999640546,0.002516175,0.65744069,190241,PHYSICIANS MEDICAL CENTER
0.007548526,0.977713875,0.003235083,0.72178289,450891,TEXAS HEALTH CENTER FOR DIAGNOSTICS & SURGERY PLAN
0.008267434,0.989575845,0.003594536,0.659597412,190267,FAIRWAY MEDICAL CENTER
0.001437815,0.885334292,0.003594536,0.702731848,370173,CLAREMORE INDIAN HOSPITAL
0.006470165,0.861250899,0.003594536,0.874191229,50717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR
0.005032351,0,0.004672897,0.460819554,360361,KINGS DAUGHTERS MEDICAL CENTER OHIO
0.005391804,0,0.004672897,0.494967649,230301,OAKLAND REGIONAL HOSPITAL
0.001797268,0,0.005391804,0.751617541,450584,WILBARGER GENERAL HOSPITAL
0.002156722,0.704529116,0.005391804,0.796908699,450155,HEREFORD REGIONAL MEDICAL CENTER
0.006110712,0.810567937,0.006110712,0.886053199,50677,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS
0.002516175,0.834291876,0.006110712,0.998562185,20018,YUKON KUSKOKWIM DELTA REG HOSPITAL
0.008986341,0.855859094,0.006829619,0.976635514,380056,SANTIAM MEMORIAL HOSPITAL
0.00395399,0.739036664,0.007189073,0.803378864,450144,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO
0.006829619,0.899712437,0.007548526,0.426671459,360189,MADISON COUNTY HOSPITAL INC
0.038461538,0.942127965,0.00790798,0.813803019,60118,ST ANTHONY SUMMIT MEDICAL CENTER
0.010424155,0.911214953,0.008267434,0.840762042,30132,"FLORENCE HOSPITAL AT ANTHEM, LLC"
0.009345794,0.99604601,0.008626887,0.845434939,30120,GILBERT HOSPITAL
0.013299784,0.574766355,0.008626887,0.925952552,50710,KAISER FOUNDATION HOSPITAL - FRESNO
0.039180446,0.975916607,0.008626887,0.792235802,450808,NORTHWEST HILLS SURGICAL HOSPITAL
0.021207764,0.901150252,0.008626887,0.584831057,140100,MIDWESTERN REGION MED CENTER
0.003594536,0.77426312,0.010064702,0.272825306,110130,IRWIN COUNTY HOSPITAL
0.007189073,0.958303379,0.010424155,0.710639827,370172,CHOCTAW NATION HEALTH SERVICES AUTHORITY
0.010783609,0,0.010783609,0.798705967,450796,NORTHWEST TEXAS SURGERY CENTER
0.01186197,0.969805895,0.010783609,0.727174694,450889,TEXAS INSTITUTE FOR SURGERY AT PRESBYTERIAN HOSPIT
0.008626887,0,0.010783609,0.573328541,430096,LEWIS AND CLARK SPECIALTY HOSPITAL
0.00790798,0.986700216,0.010783609,0.964773544,50697,PATIENTS' HOSPITAL OF REDDING
0.015097052,0.848670022,0.012221423,0.967649173,120028,NORTH HAWAII COMMUNITY HOSPITAL
0.010064702,0.979151689,0.012580877,0.718907261,450874,BAYLOR SURGICAL HOSPITAL AT LAS COLINAS
0.009705248,0.989575845,0.012940331,0.773903666,450834,"PHYSICIANS CENTRE,THE"
0.014018692,0.861250899,0.012940331,0.263120058,110111,UNIVERSITY MCDUFFIE COUNTY REGIONAL MEDICAL CENTER
0.011502516,0.999640546,0.012940331,0.283249461,100313,SACRED HEART HOSPITAL ON THE GULF
0.024083393,0.482746226,0.012940331,0.943206326,50510,KAISER FOUNDATION HOSPITAL
0.016894321,0.538102085,0.014378145,0.869877786,50138,KAISER FOUNDATION HOSPITAL - LOS ANGELES
0.005751258,0,0.014378145,0.678648454,190297,DOCTORS HOSPITAL AT DEER CREEK LLC
0.017613228,0.3713156,0.015097052,0.834291876,460017,BRIGHAM CITY COMMUNITY HOSPITAL
0.016534867,0.470165349,0.015456506,0.886412653,50137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY
0.023005032,0.704529116,0.01581596,0.930625449,50070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO
0.028396837,0.949676492,0.01581596,0.74946082,670085,TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE
0.021926671,0.998562185,0.016534867,0.478792236,150177,UNITY MEDICAL AND SURGICAL HOSPITAL
0.022645579,0.558590942,0.016534867,0.950395399,50748,KAISER FOUNDATION HOSPITAL MANTECA
0.029475198,0.651329978,0.016534867,0.953630482,50690,KAISER FOUNDATION HOSPITAL-SANTA ROSA
0.022286125,0.316678648,0.016534867,0.832135155,460030,ASHLEY REGIONAL MEDICAL CENTER
0.043853343,0.901150252,0.017972682,0.155283968,390312,CANCER TREATMENT CENTERS OF AMERICA
0.013659238,0.832494608,0.018332135,0.701653487,370138,MEMORIAL HOSPITAL OF TEXAS COUNTY
0.046010065,0.957225018,0.018691589,0.740474479,450872,USMD HOSPITAL AT ARLINGTON L P
0.030913012,0.4356578,0.019051042,0.912293314,50744,ANAHEIM GLOBAL MEDICAL CENTER
0.02767793,0.517613228,0.019051042,0.930265996,50541,KAISER FOUNDATION HOSPITAL - REDWOOD CITY
0.024802301,0.316678648,0.01976995,0.905823149,50686,"KAISER FOUNDATION HOSPITAL, RIVERSIDE"
0.039539899,0.966211359,0.01976995,0.827462257,130063,TREASURE VALLEY HOSPITAL
0.012221423,0.979151689,0.01976995,0.454708843,360362,TRIHEALTH EVENDALE HOSPITAL
0.021567218,0.957225018,0.020848311,0.200575126,340148,NOVANT HEALTH MEDICAL PARK HOSPITAL
0.034507549,0.819194824,0.020848311,0.912652768,50609,KAISER FOUNDATION HOSPITAL - ANAHEIM
0.037383178,0.899712437,0.021567218,0.962976276,50434,COLUSA REGIONAL MEDICAL CENTER
0.017972682,0.939971244,0.021926671,0.00395399,220058,CLINTON HOSPITAL ASSOCIATION
0.014378145,0.983105679,0.021926671,0.768511862,450860,SUGAR LAND SURGICAL HOSPITAL LLP
0.018691589,0.958303379,0.022645579,0.799424874,450369,CHILDRESS REGIONAL MEDICAL CENTER
0.012580877,0.30194105,0.022645579,0.103882099,330111,BERTRAND CHAFFEE HOSPITAL
0.035226456,0.517613228,0.023364486,0.95938174,50767,KAISER FOUNDATION HOSPITAL - VACAVILLE
0.026599569,0.622933142,0.023364486,0.888569375,50723,KAISER FOUNDATION HOSPITAL - BALDWIN PARK
0.071890726,0.899712437,0.024083393,0.928109274,50189,GEORGE L MEE MEMORIAL HOSPITAL
0.030553559,0.20596693,0.024083393,0.361969806,440111,METRO NASHVILLE GENERAL HOSPITAL
0.018332135,0.997843278,0.024802301,0.695542775,370192,NORTHWEST SURGICAL HOSPITAL
0.026959022,0,0.025161754,0.751258088,450586,SEYMOUR HOSPITAL
0.031631919,0.414090582,0.025161754,0.925233645,50192,ADVENTIST MEDICAL CENTER - REEDLEY
0.020129403,0.966930266,0.025880661,0.993529835,500148,CONFLUENCE HEALTH- WENATCHEE VALLEY HOSP & CLINICS
0.035585909,0.66534867,0.025880661,0.473400431,150166,PINNACLE HOSPITAL
0.054277498,0.929547088,0.026599569,0.841121495,30130,BANNER IRONWOOD MEDICAL CENTER
0.056074766,0.650970525,0.026959022,0.899712437,50423,PALO VERDE HOSPITAL
0.040258807,0.968368081,0.026959022,0.703810208,370228,"BAILEY MEDICAL CENTER, LLC"
0.01581596,0,0.02767793,0.110352265,330144,"IRA DAVENPORT MEMORIAL HOSPITAL, INC"
0.050682962,0.538102085,0.02767793,0.932063264,50076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO
0.062904385,0.434938893,0.02767793,0.952192667,50067,OAK VALLEY DISTRICT HOSPITAL
0.017253774,0.861250899,0.02875629,0.598490295,140300,PROVIDENT HOSPITAL OF CHICAGO
0.014737599,0.983105679,0.029115744,0.721423436,670076,HERITAGE PARK SURGICAL HOSPITAL
0.02875629,0.936376707,0.029475198,0.800143781,450755,COVENANT HOSPITAL LEVELLAND
0.043134436,0.500359454,0.029475198,0.879583034,50411,KAISER FOUNDATION HOSPITAL - SOUTH BAY
0.031991373,0.690510424,0.030194105,0.655283968,190079,ST CHARLES PARISH HOSPITAL
0.034148095,0.4356578,0.030553559,0.872034508,50561,KAISER FOUNDATION HOSPITAL - WEST LA
0.032350827,0.93961179,0.030913012,0.654565061,190308,ST BERNARD PARISH HOSPITAL
0.03271028,0.974838246,0.030913012,0.634076204,170109,MIAMI COUNTY MEDICAL CENTER
0.020488857,0.896117901,0.031631919,0.709202013,370171,W W HASTINGS INDIAN HOSPITAL
0.025161754,0.558590942,0.031631919,0.240115025,420011,CANNON MEMORIAL HOSPITAL
0.05643422,0.979151689,0.032350827,0.746585191,670046,USMD HOSPITAL  AT FORT WORTH LP
0.049245147,0,0.03271028,0.769949676,450214,GULF COAST MEDICAL CENTER
0.042056075,0.861250899,0.03271028,0.631919482,260207,OZARKS COMMUNITY HOSPITAL
0.02372394,0.915528397,0.033429188,0.675053918,190151,RICHARDSON MEDICAL CENTER
0.024442847,0.500359454,0.033429188,0.673975557,190011,UNIVERSITY HEALTH CONWAY
0.045650611,0.054277498,0.034148095,0.940690151,50072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK
0.025880661,0.989575845,0.034507549,0.637311287,170190,MANHATTAN SURGICAL HOSPITAL LLC
0.038102085,0.877066858,0.034507549,0.516175413,230174,NORTH OTTAWA COMMUNITY HEALTH CENTER
0.028037383,0.622214234,0.034507549,0.197699497,510072,WETZEL COUNTY HOSPITAL
0.07620417,0.951114306,0.035585909,0.667145938,190201,LAKE AREA MEDICAL CENTER
0.020848311,0,0.035585909,0.752336449,450498,STEPHENS MEMORIAL HOSPITAL
0.075844716,0.969805895,0.036304817,0.780014378,670054,FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO
0.085909418,0.983105679,0.036304817,0.658878505,190303,CYPRESS POINTE SURGICAL HOSPITAL
0.026240115,0.997124371,0.036304817,0.372393961,440032,WELLMONT HAWKINS COUNTY MEMORIAL HOSPITAL
0.04061826,0.946081955,0.037383178,0.719626168,670069,METHODIST MCKINNEY HOSPITAL
0.051401869,0.952192667,0.037742631,0.945722502,50714,SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ
0.033429188,0.316678648,0.037742631,0.831416247,460019,UINTAH BASIN MEDICAL CENTER
0.088425593,0.762041697,0.038461538,0.924514738,50528,MEMORIAL HOSPITAL LOS BANOS
0.012940331,0.983105679,0.038461538,0.645219267,170198,"SUMMIT SURGICAL, LLC"
0.033069734,0.934219986,0.038461538,0.568655643,240006,OLMSTED MEDICAL CENTER
0.03666427,0.63659238,0.039539899,0.120416966,390184,HIGHLANDS HOSPITAL
0.035945363,0.470165349,0.039539899,0.874191229,50139,KAISER FOUNDATION HOSPITAL - DOWNEY
0.036304817,0.968368081,0.040258807,0.837167505,460026,SEVIER VALLEY MEDICAL CENTER
0.045291157,0.650251618,0.040258807,0.987059669,500060,CASCADE VALLEY HOSPITAL
0.042774982,0.973400431,0.040258807,0.142703091,390321,SURGICAL SPECIALTY CENTER AT COORDINATED HEALTH
0.084831057,0.537383178,0.041337168,0.914450036,50745,CHAPMAN GLOBAL MEDICAL CENTER
0.01976995,0.989575845,0.041696621,0.118619698,390323,ADVANCED SURGICAL HOSPITAL
0.029115744,0.989575845,0.042056075,0.160675773,390324,PHYSICIAN'S CARE SURGICAL HOSPITAL
0.019410496,0.962976276,0.042056075,0.459741193,360355,"OHIO VALLEY MEDICAL CENTER, LLC"
0.037023724,0.962976276,0.042056075,0.712796549,370180,CHICKASAW NATION MEDICAL CENTER
0.063982746,0.969805895,0.042056075,0.692307692,370236,INTEGRIS HEALTH EDMOND
0.015456506,0,0.042056075,0.794751977,450620,DIMMIT REGIONAL HOSPITAL
0.134795111,0.872753415,0.043853343,0.806613947,450877,FOUNDATION SURGICAL HOSPITAL OF EL PASO
0.016175413,0.979151689,0.043853343,0.552839684,520196,OAKLEAF SURGICAL HOSPITAL
