cost,discharge,quality,provider_id,provider
0.122954488,0,0.600164674,360065,FISHER-TITUS HOSPITAL
0.003053692,0.000313238,0.687969858,360036,WOOSTER COMMUNITY HOSPITAL
0.538264151,0.000313238,0.814491301,440176,INDIAN PATH MEDICAL CENTER
0.760026983,0.000984463,0.53978127,190205,THE REGIONAL MEDICAL CENTER OF ACADIANA
0.373100699,0.001324551,0.861145915,500053,KENNEWICK GENERAL HOSPITAL
0.862747893,0.001324551,0.550467173,50191,ST MARY MEDICAL CENTER
0.065597896,0.002004725,0.666705449,230080,MCLAREN CENTRAL MICHIGAN
0.541755679,0.002282165,0.443715544,140120,PEKIN MEMORIAL HOSPITAL
0.127010247,0.002586454,0.926201045,440132,HENRY COUNTY MEDICAL CENTER
0.712383781,0.002586454,0.914190592,420089,EAST COOPER MEDICAL CENTER
0.281898327,0.003186081,0.892568196,120005,HILO MEDICAL CENTER
0.58848847,0.003535118,0.899808477,140012,KATHERINE SHAW BETHEA HOSPITAL
0.313269239,0.003911005,0.555666929,490116,LEWISGALE HOSPITAL PULASKI
0.26915941,0.003911005,0.951161667,200020,YORK HOSPITAL
0.356301171,0.004635928,0.736512852,360037,ST VINCENT CHARITY MEDICAL CENTER
0.166854431,0.004967065,0.962420348,390147,MONONGAHELA VALLEY HOSPITAL
0.143728178,0.005316102,0.903710532,110105,COLQUITT REGIONAL MEDICAL CENTER
0.720736644,0.005316102,0.920347963,50272,REDLANDS COMMUNITY HOSPITAL
0.080938568,0.006023126,0.92956612,520202,ST CLARES HOSPITAL OF WESTON
0.36645688,0.006372163,0.550136035,230005,EMMA L BIXBY MEDICAL CENTER
0.216418478,0.006703301,0.664727572,200034,ST MARYS REGIONAL MEDICAL CENTER
0.774193868,0.006703301,0.045365862,50292,RIVERSIDE COUNTY REGIONAL MEDICAL CENTER
0.67218281,0.007311878,0.451904489,250042,NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER
0.523138997,0.007311878,0.585156082,520208,ST MARYS JANESVILLE HOSPITAL
0.718633358,0.008045751,0.394590821,50329,CORONA REGIONAL MEDICAL CENTER
0.531751706,0.008412687,0.558700866,260193,ST MARY'S MEDICAL CENTER
0.405152581,0.008770674,0.908453856,380020,MCKENZIE-WILLAMETTE MEDICAL CENTER
0.726814025,0.008770674,0.538761008,50636,POMERADO HOSPITAL
0.509294907,0.009468748,0.428859096,100276,BROWARD HEALTH CORAL SPRINGS
0.20714644,0.009844634,0.283042171,340051,WATAUGA MEDICAL CENTER
0.15973419,0.010175771,0.220895683,390032,ALLEGHENY VALLEY HOSPITAL
0.059258598,0.010560607,0.969204196,230058,MUNSON HEALTHCARE GRAYLING HOSPITAL
0.781663589,0.010891745,0.02124651,50468,MEMORIAL HOSPITAL OF GARDENA
0.501075441,0.011249732,0.850415265,140304,ADVENTIST BOLINGBROOK HOSPITAL
0.162289008,0.011249732,0.987488365,410008,SOUTH COUNTY HOSPITAL INC
0.164899246,0.011920957,0.7325213,200063,PENOBSCOT BAY MEDICAL CENTER
0.395322481,0.012261044,0.998863392,120006,CASTLE MEDICAL CENTER
0.84771682,0.012261044,0.181893034,290047,SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER
0.402097944,0.012968068,0.909715759,140052,OSF SAINT ANTHONY'S HEALTH CENTER
0.57263522,0.012968068,0.032370946,450697,SOUTHWEST GENERAL HOSPITAL
0.514156989,0.013755638,0.824658123,50755,SHERMAN OAKS HOSPITAL
0.213275355,0.014086776,0.591223956,490019,CULPEPER REGIONAL HOSPITAL
0.158713031,0.014346316,0.933190735,230069,SAINT JOSEPH MERCY LIVINGSTON HOSPITAL
0.676739753,0.014659555,0.014489511,100206,MEMORIAL HOSPITAL OF TAMPA
0.519428248,0.01504439,0.865486504,100292,SACRED HEART HOSPITAL ON THE EMERALD COAST
0.121587459,0.01504439,0.772875349,140275,GENESIS HEALTH SYSTEM
0.242623614,0.015706666,0.963610654,430014,AVERA ST LUKES
0.543551113,0.015706666,0.407183003,450855,HARLINGEN MEDICAL CENTER
0.848886303,0.016422639,0.153800029,50616,ST JOHNS PLEASANT VALLEY HOSPITAL
0.201543648,0.016852223,0.115701296,140103,ST BERNARD HOSPITAL
0.10131199,0.017138612,0.598607432,260048,TRUMAN MEDICAL CENTER HOSPITAL HILL
0.139864009,0.017138612,0.799697501,220016,BAYSTATE FRANKLIN MEDICAL CENTER
0.954986881,0.017827737,0.4220484,100183,CORAL GABLES HOSPITAL
0.080854508,0.018149925,0.753275578,490037,RIVERSIDE SHORE MEMORIAL HOSPITAL
0.762880771,0.018149925,0.685651894,190177,LAKEVIEW REGIONAL MEDICAL CENTER
0.222103089,0.018919596,0.280357271,360234,MERCY HEALTH - WEST HOSPITAL
0.362033558,0.018919596,0.5860242,140206,NORWEGIAN-AMERICAN HOSPITAL
0.308627135,0.019537123,0.160064796,450372,BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE
0.688908475,0.019832462,0.844794874,50498,SUTTER AUBURN FAITH HOSPITAL
0.067293009,0.020208348,0.154533901,390125,WAYNE MEMORIAL HOSPITAL
0.486144078,0.020584234,0.610385194,330399,ST BARNABAS HOSPITAL
0.10012862,0.02096012,0.154229613,70021,WINDHAM COMM MEM HOSP & HATCH HOSP
0.718185717,0.021264409,0.647445765,450742,LAKE POINTE MEDICAL CENTER
0.048204285,0.021685043,0.015509773,330006,ST JOSEPH'S MEDICAL CENTER
0.939210018,0.022069879,0.049402162,50696,KECK HOSPITAL OF USC
0.516419755,0.022401017,0.391288394,420010,CAROLINA PINES REGIONAL MEDICAL CENTER
0.019476511,0.022750054,0.738938211,330175,"CORTLAND REGIONAL MEDICAL CENTER, INC"
0.374217178,0.022750054,0.373603852,180002,WHITESBURG ARH HOSPITAL
0.820111812,0.022750054,0.241023484,250072,MERIT HEALTH CENTRAL
0.079669377,0.023761366,0.75294444,330277,CORNING HOSPITAL
0.050436085,0.024092504,0.277654471,220017,CARNEY HOSPITAL
0.727484331,0.024092504,0.769340231,360262,MERCY ST ANNE HOSPITAL
0.442490665,0.024862175,0.423023914,190167,MERCY REGIONAL MEDICAL CENTER
0.654846456,0.024862175,0.240656548,340129,LAKE NORMAN REGIONAL MEDICAL CENTER
0.496100172,0.02552445,0.458043961,450747,PALESTINE REGIONAL MEDICAL CENTER
0.820052463,0.025873488,0.321409394,170176,OVERLAND PARK REG MED CTR
0.537222432,0.026249374,0.781663922,420030,COLLETON MEDICAL CENTER
0.144235973,0.026589461,0.805863822,190053,JENNINGS AMERICAN LEGION HOSPITAL
0.315817062,0.026589461,0.651007733,490110,LEWISGALE HOSPITAL MONTGOMERY
0.46110893,0.027278585,0.111172764,10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM"
0.226815513,0.027278585,0.948611012,520113,BAY AREA MEDICAL CENTER
0.445331163,0.027278585,0.345305005,450072,BRAZOSPORT REGIONAL HEALTH SYSTEM
0.12517749,0.028370445,0.399880074,150086,DEARBORN COUNTY HOSPITAL
0.027230083,0.02876423,0.9825392,510030,DAVIS MEDICAL CENTER
0.609562016,0.02876423,0.850021479,670077,METHODIST WEST HOUSTON HOSPITAL
0.481995614,0.029516002,0.814491301,110128,MEADOWS REGIONAL MEDICAL CENTER
0.818202319,0.029516002,0.84355982,50414,MERCY HOSPITAL OF FOLSOM
0.117121858,0.030231975,0.063229398,180143,SAINT JOSEPH EAST
0.542427562,0.030554163,0.723267344,190054,IBERIA GENERAL HOSPITAL AND MEDICAL CENTER
0.069226258,0.03091215,0.902815565,230081,MUNSON HEALTHCARE CADILLAC HOSPITAL
0.743393168,0.03091215,0.197134317,440194,TRISTAR HENDERSONVILLE MEDICAL CENTER
0.103853075,0.031628123,0.992527028,230022,COMMUNITY HEALTH CENTER OF BRANCH COUNTY
0.0179089,0.031628123,0.34785566,230030,MIDMICHIGAN MEDICAL CENTER-GRATIOT
0.743397658,0.031628123,0.286487793,440193,UNIVERSITY MEDICAL CENTER
0.237281075,0.032675234,0.780876351,370023,"DUNCAN REGIONAL HOSPITAL, INC"
0.050300046,0.032997422,0.826054271,340024,SAMPSON REGIONAL MEDICAL CENTER
0.626118591,0.032997422,0.273537624,100299,LAKEWOOD RANCH MEDICAL CENTER
0.07793591,0.033749195,0.570487578,330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER
0.04048926,0.03413403,0.760918594,360096,EAST LIVERPOOL CITY HOSPITAL
0.869160737,0.034438319,0.929915157,100296,DOCTORS HOSPITAL INC
0.174977351,0.034778406,0.202208778,490115,TWIN COUNTY REGIONAL HOSPITAL
0.454842998,0.035118494,0.647078829,520189,AURORA MEDICAL CTR KENOSHA
0.136720576,0.03548543,0.687620821,180018,ST CLAIRE REGIONAL MEDICAL CENTER
0.875895334,0.03548543,0.390259182,140184,HEARTLAND REGIONAL MEDICAL CENTER
0.084497176,0.036255101,0.681105463,330218,OSWEGO HOSPITAL
0.441134878,0.036613088,0.084019474,390225,EPHRATA COMMUNITY HOSPITAL
0.018297248,0.036613088,0.206844705,330307,CAYUGA MEDICAL CENTER AT ITHACA
0.735817942,0.03736486,0.245256676,190164,BYRD REGIONAL HOSPITAL
0.133065965,0.037687048,0.620856304,330047,ST MARY'S HOSPITAL AT AMSTERDAM
0.197184379,0.038036085,0.651383619,520088,ST AGNES HOSPITAL
0.482474909,0.038036085,0.35402198,30110,ABRAZO WEST CAMPUS
0.108849541,0.038823656,0.741095081,490130,RIVERSIDE WALTER REED HOSPITAL
0.827044858,0.039190592,0.950785781,100267,ENGLEWOOD COMMUNITY HOSPITAL
0.242250426,0.039566478,0.936269421,340099,VIDANT ROANOKE CHOWAN HOSPITAL
0.930256864,0.039566478,0.52662526,100180,ST PETERSBURG GENERAL HOSPITAL
0.344733576,0.040300351,0.211095797,30043,CANYON VISTA MEDICAL CENTER
0.740413569,0.040694136,0.754260042,450643,DOCTORS HOSPITAL OF LAREDO
0.405175987,0.041114771,0.34892067,180116,JACKSON PURCHASE MEDICAL CENTER
0.764061423,0.041114771,0.373245865,320006,EASTERN NEW MEXICO MEDICAL CENTER
0.159964509,0.041821794,0.357959834,330180,SAMARITAN HOSPITAL
0.636555885,0.042233479,0.140814062,370202,HILLCREST HOSPITAL SOUTH
0.504074356,0.042627264,0.424026276,140292,ADVENTIST GLENOAKS
0.84037322,0.042904704,0.19380504,310091,MEMORIAL HOSPITAL OF SALEM COUNTY
0.846793464,0.042904704,0.262082051,50236,SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES
0.943975035,0.043790721,0.381255817,50457,ST MARY'S MEDICAL CENTER
0.329634509,0.043790721,0.576009522,420020,GEORGETOWN MEMORIAL HOSPITAL
0.576004674,0.044587241,0.993421995,490060,CLINCH VALLEY MEDICAL CENTER
0.64310768,0.044945228,0.803796449,450203,WEATHERFORD REGIONAL MEDICAL CENTER
0.632293843,0.045276366,0.848714828,120026,PALI MOMI MEDICAL CENTER
0.116032464,0.045697,0.906350684,200021,MID COAST HOSPITAL
0.01657986,0.046090785,0.921484571,330163,EASTERN NIAGARA HOSPITAL
0.43471812,0.046430873,0.429852509,80003,ST FRANCIS HOSPITAL
0.155000694,0.046430873,0.437593972,40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER
0.576728366,0.047191594,0.857029069,180124,GREENVIEW REGIONAL HOSPITAL
0.668872595,0.047558531,0.403979022,300005,LAKES REGION GENERAL HOSPITAL
0.453603041,0.047961266,0.128338226,330386,CATSKILL REGIONAL MEDICAL CENTER
0.473813689,0.048346102,0.971602706,340145,CAROLINAS HEALTHCARE SYSTEM LINCOLN
0.822580696,0.048677239,0.766109401,450669,MEDICAL CENTER OF LEWISVILLE
0.936876729,0.048677239,0.424026276,140125,GATEWAY REGIONAL MEDICAL CENTER
0.10469575,0.049420062,0.862470466,270003,ST PETER'S HOSPITAL
0.33678908,0.049795948,0.251968927,280125,FAITH REGIONAL HEALTH SERVICES
0.26095111,0.050162884,0.24974046,130003,ST JOSEPH REGIONAL MEDICAL CENTER
0.568699311,0.05053877,0.901231474,380050,SKY LAKES MEDICAL CENTER
0.223465536,0.05053877,0.206844705,390178,UPMC HORIZON
0.441614292,0.051290542,0.687271783,450876,LUBBOCK HEART HOSPITAL LP
0.7425324,0.051639579,0.976005943,310031,DEBORAH HEART AND LUNG CENTER
0.014785811,0.051899119,0.489367796,520160,APPLETON MEDICAL CENTER
0.793644083,0.052337653,0.962769385,450340,SAN ANGELO COMMUNITY MEDICAL CENTER
0.112747315,0.052337653,0.770485788,370018,JANE PHILLIPS MEDICAL CENTER
0.440916534,0.053098375,0.622878929,180056,METHODIST HOSPITAL
0.635482006,0.053098375,0.818384406,30123,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER
0.110132092,0.053098375,0.633081549,140124,JOHN H STROGER JR HOSPITAL
0.826273655,0.053098375,0.104693205,290053,ST ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS
0.050504591,0.054664566,0.986593399,510002,GREENBRIER VALLEY MEDICAL CENTER
0.753403017,0.055022553,0.285565977,280030,CHI HEALTH CREIGHTON UNIVERSITY MEDICAL CENTER
0.478180354,0.055022553,0.996259039,110023,GORDON HOSPITAL
0.884971816,0.055819074,0.067766879,670056,SETON MEDICAL CENTER HAYS
0.294898724,0.056248658,0.95592289,340107,VIDANT EDGECOMBE HOSPITAL
0.379635328,0.056624544,0.398734517,140058,PASSAVANT AREA HOSPITAL
0.6941872,0.056955681,0.078336436,190040,SLIDELL MEMORIAL HOSPITAL
0.893738092,0.056955681,0.665031861,670047,SIERRA PROVIDENCE EAST MEDICAL CENTER
0.549281956,0.057823799,0.582489081,100043,MEASE DUNEDIN HOSPITAL
0.138482022,0.058226534,0.43791616,10079,ATHENS-LIMESTONE HOSPITAL
0.705569311,0.05859347,0,290007,UNIVERSITY MEDICAL CENTER
0.025481753,0.059058853,0.351516074,330103,OLEAN GENERAL HOSPITAL
0.639817662,0.059425789,0.291741247,260062,SAINT LUKES NORTHLAND HOSPITAL
0.348028057,0.059855373,0.139632706,360078,ROBINSON MEMORIAL HOSPITAL
0.478144903,0.060258108,0.749212429,360239,SYCAMORE MEDICAL CENTER
0.805075909,0.060625045,0.152180139,290012,ST ROSE DOMINICAN HOSPITALS - ROSE DE LIMA CAMPUS
0.843623057,0.06102778,0.698861602,100099,LAKE WALES MEDICAL CENTER
0.145182799,0.06102778,0.610018257,180027,MURRAY-CALLOWAY COUNTY HOSPITAL
0.619282581,0.061752703,0.303035727,60012,CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER
0.657419373,0.062218085,0.023895611,450130,NIX HEALTH CARE SYSTEM
0.608059621,0.062468676,0.060705592,450039,JPS HEALTH NETWORK
0.826992509,0.062925109,0.729666356,450484,WOODLAND HEIGHTS MEDICAL CENTER
0.367127622,0.063336794,0.504877569,390002,UPMC MCKEESPORT
0.744694383,0.063336794,0.393525811,450587,BROWNWOOD REGIONAL MEDICAL CENTER
0.359156323,0.064115415,0.68872163,150026,IU HEALTH GOSHEN HOSPITAL
0.103448745,0.064553949,0.241891602,340064,WILKES REGIONAL MEDICAL CENTER
0.753641317,0.064867187,0.307626906,50678,ORANGE COAST MEMORIAL MEDICAL CENTER
0.191481953,0.065287821,0.68146345,180050,HARLAN ARH HOSPITAL
0.006243756,0.06558316,0.816540775,360010,UNION HOSPITAL
0.848809757,0.065923248,0.778012458,50232,FRENCH HOSPITAL MEDICAL CENTER
0.051791649,0.066254385,0.033364359,390016,JAMESON MEMORIAL HOSPITAL
0.089261263,0.066621322,0.311484213,390048,GEISINGER-LEWISTOWN HOSPITAL
0.084745344,0.067024057,0.934712179,340123,RANDOLPH HOSPITAL
0.257901741,0.067364144,0.625232691,150069,KING'S DAUGHTERS' HEALTH
0.064089696,0.067766879,0.922728574,10061,HIGHLANDS MEDICAL CENTER
0.190026328,0.067766879,0.989698933,230072,HOLLAND COMMUNITY HOSPITAL
0.629329808,0.068482852,0.158167466,140018,MT SINAI HOSPITAL MEDICAL CENTER
0.554007554,0.068957185,0.973732727,100266,GULF BREEZE HOSPITAL
0.956048551,0.068957185,0.233702656,50002,ST ROSE HOSPITAL
0.675361353,0.069744755,0.590794372,170182,MENORAH MEDICAL CENTER
0.026978849,0.07017434,0.212885731,330239,WOMAN'S CHRISTIAN ASSOCIATION
0.14725727,0.070559175,0.823261975,410004,ROGER WILLIAMS MEDICAL CENTER
0.302802903,0.070559175,0.994406458,370234,OKLAHOMA HEART HOSPITAL SOUTH
0.141818105,0.071257249,0.814061717,220084,EMERSON HOSPITAL
0.817847691,0.071257249,0.35188301,330246,ST CHARLES HOSPITAL
0.364844955,0.071257249,0.147204124,330127,JACOBI MEDICAL CENTER
0.70083377,0.072537052,0.558700866,50492,CLOVIS COMMUNITY MEDICAL CENTER
0.080104607,0.072984535,0.593416625,340060,MOREHEAD MEMORIAL HOSPITAL
0.397013019,0.073333572,0.994773394,140101,MORRIS HOSPITAL & HEALTHCARE CENTERS
0.461864556,0.073333572,0.953103745,300017,PARKLAND MEDICAL CENTER
0.601479676,0.074094294,0.840427436,170185,SAINT LUKE'S SOUTH HOSPITAL
0.641066374,0.07445228,0.575633636,100268,WEST BOCA MEDICAL CENTER
0.106018062,0.074828166,0.534599413,510071,BLUEFIELD REGIONAL MEDICAL CENTER
0.728451112,0.074828166,0.718380826,110161,NORTHSIDE HOSPITAL
0.849083521,0.074828166,0.322152216,100269,PALMS WEST HOSPITAL
0.399251414,0.076152717,0.948960049,520207,AURORA MEDICAL CENTER
0.097566012,0.076591251,0.607673445,330102,KENMORE MERCY HOSPITAL
0.691788579,0.076993986,0.38332319,100049,HIGHLANDS REGIONAL MEDICAL CENTER
0.221564821,0.07741462,0.662302212,160047,METHODIST JENNIE EDMUNDSON
0.076709869,0.07741462,0.946874776,370149,ST ANTHONY SHAWNEE HOSPITAL
0.633653197,0.078211141,0.552006515,260176,DES PERES HOSPITAL
0.895321844,0.078613876,0.76290542,310115,HACKETTSTOWN REGIONAL MEDICAL CENTER
0.373328395,0.078613876,0.482396005,120007,KUAKINI MEDICAL CENTER
0.621454225,0.079356698,0.450069807,100126,PALMS OF PASADENA HOSPITAL
0.136189654,0.079750483,0.89596907,240056,RIDGEVIEW MEDICAL CENTER
0.53231696,0.080180067,0.204660987,500019,PROVIDENCE CENTRALIA HOSPITAL
0.153946733,0.080538054,0.688318895,360125,ASHTABULA COUNTY MEDICAL CENTER
0.043867724,0.080538054,0.666982888,390173,INDIANA REGIONAL MEDICAL CENTER
0.972868104,0.080538054,0.523832963,50197,SEQUOIA HOSPITAL
0.416285096,0.081808907,0.626485645,380017,LEGACY GOOD SAMARITAN MEDICAL CENTER
0.700168939,0.082292189,0.013379752,440144,HARTON REGIONAL MEDICAL CENTER
0.408221147,0.082757571,0.069843202,50350,BEVERLY HOSPITAL
0.393275485,0.083222954,0.058557672,280061,REGIONAL WEST MEDICAL CENTER
0.44267055,0.083688337,0.291741247,30030,ABRAZO CENTRAL CAMPUS
0.336907284,0.084108971,0.97500358,490098,"COMMUNITY MEMORIAL HEALTHCENTER, INC"
0.869361523,0.084502756,0.705520155,450678,DOCTORS HOSPITAL
0.692916561,0.08495919,0.355319682,30122,BANNER GATEWAY MEDICAL CENTER
0.271913761,0.085361925,0.968183934,240213,HEALTHEAST WOODWINDS HOSPITAL
0.688923695,0.085361925,0.59247691,440072,DYERSBURG REGIONAL MEDICAL CENTER
0.192131771,0.085361925,0.60538233,340119,STANLY REGIONAL MEDICAL CENTER
0.928985919,0.086498532,0.725961194,390127,PHOENIXVILLE HOSPITAL
0.412089124,0.086928116,0.829455144,450152,METROPLEX HOSPITAL
