cost,costval,quality,incomeval,income,insured,adjudicated_location_id,description,procedure_code,no_procedures
0.9993,267.15,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9993,267.15,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9993,267.15,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9993,267.15,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9993,267.15,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9993,267.15,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9975,213.72,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9959,194.95,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9945,186.51,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9917,158.85,0.33,34432,41.5556,0.6583,8,Chest x-ray 2vw frontal&latl,71020,204759
0.9912,157.75,0.45,47826,27.6222,0.5013,894,Chest x-ray 2vw frontal&latl,71020,204759
0.9912,157.75,0.45,47826,27.6222,0.5013,894,Chest x-ray 2vw frontal&latl,71020,204759
0.9912,157.75,0.45,47826,27.6222,0.5013,894,Chest x-ray 2vw frontal&latl,71020,204759
0.9912,157.75,0.45,47826,27.6222,0.5013,894,Chest x-ray 2vw frontal&latl,71020,204759
0.9912,157.75,0.45,47826,27.6222,0.5013,894,Chest x-ray 2vw frontal&latl,71020,204759
0.9888,146.63,0.45,47826,27.6222,0.5013,894,Chest x-ray 2vw frontal&latl,71020,204759
0.9888,146.63,0.45,47826,27.6222,0.5013,894,Chest x-ray 2vw frontal&latl,71020,204759
0.9867,133.36,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9867,133.36,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9867,133.36,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9867,133.36,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9856,128.87,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
