GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
8600000US98001,98001,ZCTA5 98001,11092,340,530,175,418,135,204,92,367,119,254,88,450,146,260,105,516,165,501,134,789,172,1505,247,1836,258,1276,242,920,198,836,191,430,143
8600000US98002,98002,ZCTA5 98002,13013,372,1239,245,699,185,858,201,808,171,850,161,818,186,702,160,540,144,684,151,1329,242,1431,250,1574,225,701,156,334,122,363,144,83,42
8600000US98003,98003,ZCTA5 98003,17780,522,1441,358,1138,225,972,248,1024,234,998,270,922,218,1089,300,1233,254,751,205,1295,241,2110,351,2083,317,1005,189,794,224,592,150,333,123
8600000US98004,98004,ZCTA5 98004,14740,454,620,170,501,185,319,149,392,162,364,121,411,142,443,169,421,162,410,148,567,153,1183,338,1685,305,1730,311,1326,243,1515,258,2853,357
8600000US98005,98005,ZCTA5 98005,7579,308,210,86,181,85,197,75,209,94,179,76,242,105,174,73,342,117,233,100,442,142,926,190,1122,219,783,168,665,164,574,134,1100,161
8600000US98006,98006,ZCTA5 98006,13102,334,377,122,123,65,206,81,323,127,200,102,467,174,292,109,384,117,299,106,618,191,826,179,1685,293,1486,231,1331,188,1867,235,2618,248
8600000US98007,98007,ZCTA5 98007,10271,363,678,195,222,111,237,83,480,174,277,107,250,120,361,132,486,165,425,146,564,187,1129,264,1668,272,1063,181,820,230,746,156,865,203
8600000US98008,98008,ZCTA5 98008,8918,267,261,109,222,88,140,49,299,102,289,102,259,94,359,125,432,138,247,81,631,152,722,150,1060,165,1049,157,758,164,813,148,1377,164
8600000US98010,98010,ZCTA5 98010,1882,139,56,53,0,12,42,35,73,51,83,63,125,46,39,32,112,59,70,53,187,90,227,79,164,68,287,97,89,53,210,77,118,68
8600000US98011,98011,ZCTA5 98011,12426,348,513,123,396,116,486,144,318,107,577,206,398,131,387,138,533,166,546,152,827,191,1234,210,1530,230,1499,310,1029,185,1260,200,893,177
8600000US98012,98012,ZCTA5 98012,20290,425,603,186,331,110,385,128,542,199,498,155,491,166,696,203,768,234,758,213,1291,287,1952,305,3630,355,3011,361,1830,297,2045,317,1459,244
8600000US98014,98014,ZCTA5 98014,2542,167,67,40,47,43,46,27,58,38,57,33,36,31,50,47,52,28,114,78,195,89,138,43,454,114,235,94,332,101,297,110,364,93
8600000US98019,98019,ZCTA5 98019,3915,215,196,113,49,72,116,96,118,81,44,45,150,92,18,29,63,53,230,121,335,131,283,120,585,184,454,151,302,107,611,157,361,119
8600000US98020,98020,ZCTA5 98020,8326,342,501,151,194,92,250,103,287,127,301,125,280,104,205,116,254,100,381,144,480,152,796,201,991,210,852,173,764,157,588,139,1202,217
8600000US98021,98021,ZCTA5 98021,10454,377,284,125,115,61,215,71,326,111,207,98,243,111,128,59,324,126,456,164,752,160,1022,192,1444,251,1488,274,1139,197,1271,208,1040,196
8600000US98022,98022,ZCTA5 98022,8384,304,438,148,283,92,301,125,333,130,404,123,428,208,313,98,372,127,241,81,718,162,754,180,1125,213,912,162,582,156,685,164,495,123
8600000US98023,98023,ZCTA5 98023,17500,502,481,173,456,158,697,190,929,256,737,202,816,229,780,197,754,206,679,167,1570,301,1660,270,2474,361,2127,332,1245,227,1251,188,844,182
8600000US98024,98024,ZCTA5 98024,2056,193,30,24,0,17,23,35,96,81,46,42,77,68,46,35,28,26,116,75,71,49,127,74,379,134,215,101,239,120,181,93,382,120
8600000US98026,98026,ZCTA5 98026,14573,424,377,130,346,128,563,176,595,193,417,129,708,180,575,179,574,136,611,151,1006,222,1581,304,2109,285,1600,282,1281,215,1355,218,875,156
8600000US98027,98027,ZCTA5 98027,10819,369,310,133,148,88,223,124,245,115,132,73,314,143,208,89,331,119,466,148,538,168,1088,209,1290,236,1170,226,869,208,1512,264,1975,255
