GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population
8600000US98001,98001,ZCTA5 98001,11092,340,85821,5019,31742,1191,30706,2099
8600000US98002,98002,ZCTA5 98002,13013,372,53036,2162,34240,1055,20774,1054
8600000US98003,98003,ZCTA5 98003,17780,522,59931,2838,45632,1637,24094,1199
8600000US98004,98004,ZCTA5 98004,14740,454,144908,8244,31254,1249,68924,3954
8600000US98005,98005,ZCTA5 98005,7579,308,121345,9866,17880,878,51712,4035
8600000US98006,98006,ZCTA5 98006,13102,334,148524,8470,37059,1207,53437,3265
8600000US98007,98007,ZCTA5 98007,10271,363,93126,6785,25521,1315,38592,3256
8600000US98008,98008,ZCTA5 98008,8918,267,115893,5976,24452,781,43143,2537
8600000US98010,98010,ZCTA5 98010,1882,139,89127,8210,4789,158,35257,3580
8600000US98011,98011,ZCTA5 98011,12426,348,93191,4340,30787,842,38359,1886
8600000US98012,98012,ZCTA5 98012,20290,425,101021,4217,53837,1084,38734,1481
8600000US98014,98014,ZCTA5 98014,2542,167,128021,14543,6902,552,48089,6064
8600000US98019,98019,ZCTA5 98019,3915,215,108412,7761,10815,471,39666,3112
8600000US98020,98020,ZCTA5 98020,8326,342,110413,8062,19109,832,49298,3364
8600000US98021,98021,ZCTA5 98021,10454,377,110294,5020,28593,820,41232,2004
8600000US98022,98022,ZCTA5 98022,8384,304,84091,4248,21353,666,33650,1782
8600000US98023,98023,ZCTA5 98023,17500,502,83456,3156,49402,1287,30307,1339
8600000US98024,98024,ZCTA5 98024,2056,193,130951,14235,5988,763,45691,4887
8600000US98026,98026,ZCTA5 98026,14573,424,90955,3527,36173,1152,37614,1698
8600000US98027,98027,ZCTA5 98027,10819,369,128750,6684,27147,923,51986,3156
8600000US98028,98028,ZCTA5 98028,8001,244,103002,5688,21232,56,39428,2200
8600000US98029,98029,ZCTA5 98029,10457,351,114663,6547,26193,968,46206,2469
8600000US98030,98030,ZCTA5 98030,11591,314,64657,3888,35302,1319,21988,1613
8600000US98031,98031,ZCTA5 98031,12244,336,76674,2801,36953,1061,26168,1236
8600000US98032,98032,ZCTA5 98032,13554,517,60401,2972,35935,1519,24375,1762
8600000US98033,98033,ZCTA5 98033,15337,417,134504,7568,35605,1052,58603,3104
8600000US98034,98034,ZCTA5 98034,17064,458,101558,4350,42335,931,41987,1955
8600000US98036,98036,ZCTA5 98036,14098,353,77166,3104,37380,1196,30005,1237
8600000US98037,98037,ZCTA5 98037,10103,406,73192,3119,27676,1032,28063,1305
8600000US98038,98038,ZCTA5 98038,11823,295,105746,3804,34076,773,37170,1421
8600000US98039,98039,ZCTA5 98039,1054,52,310533,54271,3080,21,106393,18504
8600000US98040,98040,ZCTA5 98040,9431,264,187309,10907,23636,32,75396,4567
8600000US98042,98042,ZCTA5 98042,15890,346,96711,3368,44599,1136,35013,1413
8600000US98043,98043,ZCTA5 98043,8225,297,71622,3864,20358,72,30095,1565
8600000US98045,98045,ZCTA5 98045,5551,299,107704,8482,14643,709,41330,3467
8600000US98047,98047,ZCTA5 98047,2290,134,58958,5378,6457,164,21229,2008
8600000US98050,98050,ZCTA5 98050,55,57,264362,44106,208,225,73242,18249
8600000US98051,98051,ZCTA5 98051,1262,146,93808,9058,3402,537,35178,3355
8600000US98052,98052,ZCTA5 98052,24893,631,125547,5142,60920,373,52125,2394
8600000US98053,98053,ZCTA5 98053,7757,269,150048,9575,20739,841,56726,3463
8600000US98055,98055,ZCTA5 98055,8659,294,74456,3688,21532,1041,31104,1594
8600000US98056,98056,ZCTA5 98056,13160,377,92007,5419,33878,1057,36728,2336
8600000US98057,98057,ZCTA5 98057,5496,306,61184,8630,12187,846,28534,4182
8600000US98058,98058,ZCTA5 98058,15538,342,93813,3061,42764,1232,34874,1348
8600000US98059,98059,ZCTA5 98059,13032,306,110063,4560,36504,1095,39925,1626
8600000US98065,98065,ZCTA5 98065,4482,201,141594,8706,13202,245,48477,3343
8600000US98068,98068,ZCTA5 98068,132,53,65132,14760,240,97,36486,8115
8600000US98070,98070,ZCTA5 98070,4704,241,91788,8419,10447,715,42129,3779
8600000US98072,98072,ZCTA5 98072,8586,307,141924,10132,22485,574,54663,3471
8600000US98074,98074,ZCTA5 98074,8704,241,165835,9101,26386,750,54851,3176
8600000US98075,98075,ZCTA5 98075,7090,229,184692,10382,22483,696,58668,3260
8600000US98077,98077,ZCTA5 98077,4742,181,185870,17531,14154,885,62775,6366
8600000US98087,98087,ZCTA5 98087,11528,349,76994,3572,32833,1539,28090,1519
8600000US98092,98092,ZCTA5 98092,14978,506,87131,4848,40610,1298,32817,2057
8600000US98101,98101,ZCTA5 98101,7637,420,87095,10070,10803,694,62253,7003
8600000US98102,98102,ZCTA5 98102,14117,414,95799,6087,22776,1087,60306,3939
8600000US98103,98103,ZCTA5 98103,22736,449,99938,3827,47559,1305,48860,1994
8600000US98104,98104,ZCTA5 98104,7038,246,57490,4454,13177,759,32613,2908
