ZIP,Mean Income 
98001,85821
98002,53036
98003,59931
98004,144908
98005,121345
98006,148524
98007,93126
98008,115893
98010,89127
98011,93191
98012,101021
98014,128021
98019,108412
98020,110413
98021,110294
98022,84091
98023,83456
98024,130951
98026,90955
98027,128750
98028,103002
98029,114663
98030,64657
98031,76674
98032,60401
98033,134504
98034,101558
98036,77166
98037,73192
98038,105746
98039,310533
98040,187309
98042,96711
98043,71622
98045,107704
98047,58958
98050,264362
98051,93808
98052,125547
98053,150048
98055,74456
98056,92007
98057,61184
98058,93813
98059,110063
98065,141594
98068,65132
98070,91788
98072,141924
98074,165835
98075,184692
98077,185870
98087,76994
98092,87131
98101,87095
98102,95799
98103,99938
98104,57490
98105,88071
98106,68057
98107,88860
98108,70088
98109,101209
98110,132572
98112,151533
98115,112272
98116,106456
98117,105324
98118,73951
98119,120856
98121,91764
98122,89153
98125,73878
98126,90734
98133,66389
98134,44136
98136,105885
98144,84061
98146,76487
98148,58501
98154,-
98155,92296
98158,-
98164,62132
98166,90032
98168,61030
98174,-
98177,124399
98178,74494
98188,52971
98195,-
98198,70061
98199,123642
98201,55582
98203,74204
98204,53210
98205,83150
98207,-
98208,82089
98220,60417
98221,76673
98222,94426
98223,77055
98224,37054
98225,54399
98226,67702
98229,75010
98230,73863
98232,85671
98233,65275
98235,N
98236,81157
98237,56182
98238,N
98239,82334
98240,69614
98241,83499
98243,101813
98244,60530
98245,67657
98247,87534
98248,65230
98249,87892
98250,86480
98251,71445
98252,78037
98253,77253
98255,37770
98256,48568
98257,65164
98258,86300
98260,84726
98261,68855
98262,68495
98263,56437
98264,68254
98266,51952
98267,39310
98270,73510
98271,76221
98272,88833
98273,64104
98274,76251
98275,112877
98276,65927
98277,65997
98278,-
98279,73317
98280,135301
98281,71879
98282,78729
98283,45235
98284,68254
98286,84829
98288,59033
98290,91033
98292,81627
98294,59190
98295,67878
98296,124190
98297,35816
98303,73878
98304,45425
98305,43915
98310,55986
98311,76732
98312,68453
98314,150592
98315,50735
98320,48799
98321,81348
98323,56775
98325,76151
98326,30363
98327,92632
98328,71830
98329,81859
98330,52760
98331,48425
98332,118319
98333,120612
98335,109884
98336,36396
98337,45769
98338,76614
98339,41674
98340,77145
98342,83779
98345,83569
98346,78726
98349,67038
98350,45025
98351,64401
98353,N
98354,87624
98355,71577
98356,44186
98357,54219
98358,66529
98359,79221
98360,80610
98361,54164
98362,58550
98363,58977
98364,N
98365,77834
98366,68704
98367,82096
98368,59631
98370,84069
98371,77405
98372,79145
98373,73406
98374,85951
98375,81645
98376,68197
98377,39837
98380,93493
98381,55465
98382,61272
98383,79797
98385,71735
