Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Unweighted Normalized Clinical Process of Care Domain Score,Weighted Clinical Process of Care Domain Score,Unweighted Patient Experience of Care Domain Score,Weighted Patient Experience of Care Domain Score,Unweighted Normalized Outcome Domain Score,Weighted Outcome Domain Score,Unweighted Normalized Efficiency Domain Score,Weighted Efficiency Domain Score,Total Performance Score,Location
370171,W W HASTINGS INDIAN HOSPITAL,100 S BLISS AVENUE,Tahlequah,OK,74464,CHEROKEE,24.44444444,6.984126984,54,23.14285714,,,50,14.28571429,44.41269841,"100 S BLISS AVENUE
Tahlequah, OK 74464
(35.915313, -94.948925)"
370158,PURCELL MUNICIPAL HOSPITAL,1500 NORTH GREEN AVENUE,Purcell,OK,73080,MCCLAIN,,,56,21,40,15,10,2.5,38.5,"1500 NORTH GREEN AVENUE
Purcell, OK 73080
(35.027832, -97.365655)"
220163,UMASS MEMORIAL MEDICAL CENTER INC,55 LAKE AVENUE NORTH,Worcester,MA,01655-0002,WORCESTER,42.72727273,8.545454546,27,8.1,66,19.8,0,0,36.44545455,"55 LAKE AVENUE NORTH
Worcester, MA 01655-0002
(42.278168, -71.759178)"
220033,BEVERLY HOSPITAL CORPORATION,85 HERRICK STREET,Beverly,MA,01915-1790,ESSEX,61,12.2,35,10.5,95,28.5,10,2,53.2,"85 HERRICK STREET
Beverly, MA 01915-1790
(42.568341, -70.8758)"
230236,METRO HEALTH HOSPITAL,"5900 BYRON CENTER AVENUE, SW",Wyoming,MI,49519,KENT,56,11.2,62,18.6,28,8.4,40,8,46.2,"5900 BYRON CENTER AVENUE, SW
Wyoming, MI 49519
(42.858248, -85.722943)"
200021,MID COAST HOSPITAL,123 MEDICAL CENTER DRIVE,Brunswick,ME,4011,CUMBERLAND,54.44444444,10.88888889,53,15.9,50,15,40,8,49.78888889,"123 MEDICAL CENTER DRIVE
Brunswick, ME 04011
(43.905666, -69.892004)"
200063,PENOBSCOT BAY MEDICAL CENTER,6 GLEN COVE DRIVE,Rockport,ME,4856,KNOX,63.33333333,12.66666667,30,9,33.33333333,10,60,12,43.66666667,"6 GLEN COVE DRIVE
Rockport, ME 04856
(44.145848, -69.087853)"
230022,COMMUNITY HEALTH CENTER OF BRANCH COUNTY,274 E CHICAGO ST,Coldwater,MI,49036,BRANCH,70,14,42,12.6,83.33333333,25,60,12,63.6,"274 E CHICAGO ST
Coldwater, MI 49036
(41.939038, -84.991153)"
230093,SPECTRUM HEALTH BIG RAPIDS HOSPITAL,605 OAK STREET,Big Rapids,MI,49307,MECOSTA,58.88888889,11.77777778,58,17.4,50,15,50,10,54.17777778,"605 OAK STREET
Big Rapids, MI 49307
(43.69312, -85.476068)"
230118,HURON MEDICAL CENTER,1100 SOUTH VAN DYKE ROAD,Bad Axe,MI,48413,HURON,58.88888889,11.77777778,55,16.5,50,15,80,16,59.27777778,"1100 SOUTH VAN DYKE ROAD
Bad Axe, MI 48413
(43.802404, -83.034389)"
230085,SOUTH HAVEN COMMUNITY HOSPITAL,955 S BAILEY AVE,South Haven,MI,49090,VAN BUREN,44.44444444,12.6984127,53,22.71428571,,,40,11.42857143,46.84126984,"955 S BAILEY AVE
South Haven, MI 49090
(42.391395, -86.264098)"
230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,Clinton Township,MI,48038,MACOMB,67.27272727,13.45454545,15,4.5,52,15.6,0,0,33.55454545,"15855 NINETEEN MILE RD
Clinton Township, MI 48038
"
250122,NATCHEZ COMMUNITY HOSPITAL,129 JEFFERSON DAVIS BLVD BOX 1203,Natchez,MS,39120,ADAMS,28.88888889,5.777777778,18,5.4,33.33333333,10,20,4,25.17777778,"129 JEFFERSON DAVIS BLVD BOX 1203
Natchez, MS 39120
(31.523565, -91.387309)"
220126,NORWOOD HOSPITAL,800 WASHINGTON STREET,Norwood,MA,2062,NORFOLK,58,11.6,18,5.4,60,18,10,2,37,"800 WASHINGTON STREET
Norwood, MA 02062
(42.189462, -71.20264)"
230110,MEMORIAL MEDICAL CENTER OF WEST MICHIGAN,1 N ATKINSON DRIVE,Ludington,MI,49431,MASON,30,6,40,12,33.33333333,10,70,14,42,"1 N ATKINSON DRIVE
Ludington, MI 49431
(43.956102, -86.429331)"
230222,MIDMICHIGAN MEDICAL CENTER-MIDLAND,4000 WELLNESS DRIVE,Midland,MI,48670,MIDLAND,51.81818182,10.36363636,73,21.9,54,16.2,50,10,58.46363636,"4000 WELLNESS DRIVE
Midland, MI 48670
"
230197,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,ONE GENESYS PARKWAY,Grand Blanc,MI,48439,GENESEE,41.81818182,8.363636364,21,6.3,54,16.2,20,4,34.86363636,"ONE GENESYS PARKWAY
Grand Blanc, MI 48439
"
240101,ESSENTIA HEALTH ST MARYS - DETROIT LAKES,1027 WASHINGTON AVE,Detroit Lakes,MN,56501,BECKER,54.44444444,15.55555556,62,26.57142857,,,80,22.85714286,64.98412698,"1027 WASHINGTON AVE
Detroit Lakes, MN 56501
(46.815678, -95.845435)"
240071,DISTRICT ONE HOSPITAL,200 STATE AVENUE,Faribault,MN,55021,RICE,48.88888889,13.96825397,53,22.71428571,,,30,8.571428571,45.25396825,"200 STATE AVENUE
Faribault, MN 55021
(44.288423, -93.256021)"
240141,FAIRVIEW NORTHLAND REGIONAL HOSPITAL,911 NORTHLAND DR,Princeton,MN,55371,SHERBURNE,85.55555556,24.44444444,73,31.28571429,,,100,28.57142857,84.3015873,"911 NORTHLAND DR
Princeton, MN 55371
(45.558907, -93.58897)"
240001,NORTH MEMORIAL MEDICAL CENTER,3300 OAKDALE NORTH,Robbinsdale,MN,55422,HENNEPIN,49.09090909,9.818181818,34,10.2,50,15,30,6,41.01818182,"3300 OAKDALE NORTH
Robbinsdale, MN 55422
(45.014214, -93.321172)"
240063,ST JOSEPH'S HOSPITAL,45 WEST 10TH STREET,Saint Paul,MN,55102,RAMSEY,52.72727273,10.54545455,38,11.4,67.5,20.25,40,8,50.19545455,"45 WEST 10TH STREET
Saint Paul, MN 55102
(44.948774, -93.100808)"
