avgAmount,cost_percentile,quality,no_procedures_location,no_proc_percentile,income_percentile,no_procedures,description
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
0,0,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
636.856666,0.9841,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
180.313333,0.8473,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
188.59,0.8508,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
188.59,0.8508,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
188.59,0.8508,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
115.5,0.7879,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
147.906666,0.8214,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
173.25,0.8433,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
173.25,0.8433,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
173.25,0.8433,31.9909,179,0.4887,0.47,72500,Ct neck spine w/o dye
