avgAmount,cost_percentile,quality,no_procedures_location,no_proc_percentile,income_percentile,no_procedures,description
99.88,0.4176,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
25.45,0.1055,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
62.545,0.2431,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
347.62,0.8871,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
25.45,0.1055,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
415.28,0.9199,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
99.88,0.4176,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
380.47,0.9094,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
62.545,0.2431,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
62.71,0.2441,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
99.88,0.4176,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
119.665,0.4863,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
347.62,0.8871,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
353.95,0.89,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
226.915,0.7275,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
415.28,0.9199,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
186.04,0.6653,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
347.62,0.8871,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
415.28,0.9199,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
112.09,0.4691,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
25.45,0.1055,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
25.45,0.1055,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
135.384615,0.5333,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
0,0,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
126.38,0.5039,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
25.45,0.1055,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
25.45,0.1055,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
345.66,0.8864,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
62.58,0.2437,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
345.66,0.8864,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
345.66,0.8864,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
62.665,0.2437,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
350.785,0.889,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
99.88,0.4176,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
345.66,0.8864,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
24.46,0.0808,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
226.915,0.7275,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
99.88,0.4176,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
350.785,0.889,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
24.46,0.0808,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
353.95,0.89,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
32.323333,0.1674,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
347.62,0.8871,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
62.71,0.2441,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
99.97,0.4283,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
0,0,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
32.323333,0.1674,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
0,0,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
25.45,0.1055,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
108.894,0.4625,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
32.323333,0.1674,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
345.66,0.8864,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
110.6575,0.4661,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
99.88,0.4176,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
99.88,0.4176,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
99.88,0.4176,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
99.97,0.4283,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
119.665,0.4863,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye
