avgAmount,cost_percentile,quality,no_procedures_location,no_proc_percentile,income_percentile,no_procedures,description,procedure_code
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
109.68,0.464,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
109.68,0.464,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
109.68,0.464,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
109.68,0.464,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
102.856666,0.4398,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
102.856666,0.4398,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
102.856666,0.4398,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
102.856666,0.4398,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
71.803333,0.2638,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
71.803333,0.2638,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
71.803333,0.2638,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
71.803333,0.2638,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
131.41,0.5206,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
131.41,0.5206,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
