avgAmount,cost_percentile,quality,no_procedures_location,no_proc_percentile,income_percentile,no_procedures,description
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
109.68,0.464,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
109.68,0.464,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
109.68,0.464,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
109.68,0.464,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
61.125,0.2395,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
61.125,0.2395,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
61.125,0.2395,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
61.125,0.2395,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
102.856666,0.4398,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
102.856666,0.4398,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
102.856666,0.4398,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
102.856666,0.4398,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
131.41,0.5206,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
131.41,0.5206,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
71.803333,0.2638,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
71.803333,0.2638,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
131.41,0.5206,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
71.803333,0.2638,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
71.803333,0.2638,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
131.41,0.5206,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
