avgAmount,cost_percentile,quality,no_procedures_location,no_proc_percentile,income_percentile,no_procedures,description,procedure_code
62.545,0.2431,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
62.71,0.2441,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
415.28,0.9199,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
380.47,0.9094,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
99.88,0.4176,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
25.45,0.1055,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
99.88,0.4176,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
119.665,0.4863,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
347.62,0.8871,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
25.45,0.1055,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
99.88,0.4176,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
112.09,0.4691,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
25.45,0.1055,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
135.384615,0.5333,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
415.28,0.9199,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
25.45,0.1055,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
226.915,0.7275,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
24.46,0.0808,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
32.323333,0.1674,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
108.894,0.4625,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
32.323333,0.1674,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
353.95,0.89,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
32.323333,0.1674,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
99.88,0.4176,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
99.88,0.4176,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
119.665,0.4863,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
62.71,0.2441,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
99.97,0.4283,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
0,0,41.5556,58,0.4852,0.33,154049,Ct head/brain w/o dye,70450
72.685,0.9384,41.5556,124,0.6583,0.33,204759,Chest x-ray 2vw frontal&latl,71020
31.395,0.4772,41.5556,124,0.6583,0.33,204759,Chest x-ray 2vw frontal&latl,71020
103.98,0.9658,41.5556,124,0.6583,0.33,204759,Chest x-ray 2vw frontal&latl,71020
48.32,0.8142,41.5556,124,0.6583,0.33,204759,Chest x-ray 2vw frontal&latl,71020
27.42,0.4217,41.5556,124,0.6583,0.33,204759,Chest x-ray 2vw frontal&latl,71020
13.89,0.2381,41.5556,124,0.6583,0.33,204759,Chest x-ray 2vw frontal&latl,71020
