cost,costval,income,incomeval,quality,insured,adjudicated_location_id,description,procedure_code,no_procedures
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
