GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC68,Total; Estimate; HEALTH COVERAGE BY TYPE - Private health insurance
HC01_MOE_VC68,Total; Margin of Error; HEALTH COVERAGE BY TYPE - Private health insurance
HC02_EST_VC68,Number Uninsured; Estimate; HEALTH COVERAGE BY TYPE - Private health insurance
HC02_MOE_VC68,Number Uninsured; Margin of Error; HEALTH COVERAGE BY TYPE - Private health insurance
HC03_EST_VC68,Percent Uninsured; Estimate; HEALTH COVERAGE BY TYPE - Private health insurance
HC03_MOE_VC68,Percent Uninsured; Margin of Error; HEALTH COVERAGE BY TYPE - Private health insurance
HC04_EST_VC68,Number Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - Private health insurance
HC04_MOE_VC68,Number Insured by  Coverage Type; Margin of Error; HEALTH COVERAGE BY TYPE - Private health insurance
HC05_EST_VC68,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - Private health insurance
HC05_MOE_VC68,Percent Insured by  Coverage Type; Margin of Error; HEALTH COVERAGE BY TYPE - Private health insurance
HC01_EST_VC69,Total; Estimate; HEALTH COVERAGE BY TYPE - Private health insurance - Private health insurance alone
HC01_MOE_VC69,Total; Margin of Error; HEALTH COVERAGE BY TYPE - Private health insurance - Private health insurance alone
HC02_EST_VC69,Number Uninsured; Estimate; HEALTH COVERAGE BY TYPE - Private health insurance - Private health insurance alone
HC02_MOE_VC69,Number Uninsured; Margin of Error; HEALTH COVERAGE BY TYPE - Private health insurance - Private health insurance alone
HC03_EST_VC69,Percent Uninsured; Estimate; HEALTH COVERAGE BY TYPE - Private health insurance - Private health insurance alone
HC03_MOE_VC69,Percent Uninsured; Margin of Error; HEALTH COVERAGE BY TYPE - Private health insurance - Private health insurance alone
HC04_EST_VC69,Number Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - Private health insurance - Private health insurance alone
HC04_MOE_VC69,Number Insured by  Coverage Type; Margin of Error; HEALTH COVERAGE BY TYPE - Private health insurance - Private health insurance alone
HC05_EST_VC69,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - Private health insurance - Private health insurance alone
HC05_MOE_VC69,Percent Insured by  Coverage Type; Margin of Error; HEALTH COVERAGE BY TYPE - Private health insurance - Private health insurance alone
HC01_EST_VC70,Total; Estimate; HEALTH COVERAGE BY TYPE - Employment-based health insurance
HC01_MOE_VC70,Total; Margin of Error; HEALTH COVERAGE BY TYPE - Employment-based health insurance
HC02_EST_VC70,Number Uninsured; Estimate; HEALTH COVERAGE BY TYPE - Employment-based health insurance
HC02_MOE_VC70,Number Uninsured; Margin of Error; HEALTH COVERAGE BY TYPE - Employment-based health insurance
HC03_EST_VC70,Percent Uninsured; Estimate; HEALTH COVERAGE BY TYPE - Employment-based health insurance
HC03_MOE_VC70,Percent Uninsured; Margin of Error; HEALTH COVERAGE BY TYPE - Employment-based health insurance
HC04_EST_VC70,Number Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - Employment-based health insurance
HC04_MOE_VC70,Number Insured by  Coverage Type; Margin of Error; HEALTH COVERAGE BY TYPE - Employment-based health insurance
HC05_EST_VC70,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - Employment-based health insurance
HC05_MOE_VC70,Percent Insured by  Coverage Type; Margin of Error; HEALTH COVERAGE BY TYPE - Employment-based health insurance
HC01_EST_VC71,Total; Estimate; HEALTH COVERAGE BY TYPE - Employment-based health insurance - Employment-based health insurance alone
HC01_MOE_VC71,Total; Margin of Error; HEALTH COVERAGE BY TYPE - Employment-based health insurance - Employment-based health insurance alone
