zip,private,uninsured,public,private_only,employment,employed_only,directpurchase,directpurchase_only,military,military_only,public_alone,medicare,medicare_alone,medicaid,medicaid_alone,va,va_only
98001,69.4,14.1,27,57.2,60.7,52.3,9.7,4.3,2.5,0.6,15.1,11.7,2.8,16.8,12.3,1.7,0.1
98002,48.9,19.5,41.9,36.5,41,33.4,9.3,2.6,2,0.5,28.4,14.9,3.9,30.1,24.2,2.1,0.2
98003,56.5,17.3,36.7,44.8,47.7,40.8,8.8,3.5,2.3,0.6,22.4,15.3,3.2,25.1,18.9,2.4,0.3
98004,85.2,7.3,19.4,71,67.2,59.3,20.7,11.6,1.6,0.2,6.5,15.9,4.3,4.9,2.1,1,0.1
98005,81.2,9.9,19.8,69.2,65.3,58.2,17.9,10.8,1,0.1,7.5,14.4,3.4,7,3.9,1.2,0.2
98006,84.3,7.4,19.3,71.4,71,62.5,15.4,8.6,2.1,0.4,7.2,13.7,3.3,6.4,3.7,1.5,0.2
98007,74.6,11.7,21.1,65.6,64.8,58.3,11.5,6.7,1.3,0.6,12.1,11.6,3.5,11.7,8.5,0.7,0
98008,79,10.3,21.7,66.4,66.8,58.5,14.5,7.5,1.5,0.3,8.7,15.9,3.6,8.4,4.9,1,0.1
98010,80.3,7.1,20.4,69.8,70.7,64.3,12.9,5.6,0.2,0,11.2,13.2,4.9,7.6,6.1,1.1,0.1
98011,79.5,10.1,21.3,66.5,67.2,59.2,13.3,6.9,2.5,0.5,9.1,13.1,3.2,9.5,5.4,1.7,0.4
98012,81.6,9.3,18,69.8,67.5,59.6,15.4,8.9,3,1.3,8,10.6,2.7,8.6,5.2,1.3,0.1
98014,84.5,7,17.5,73.1,73.6,66,12.6,6.7,1.2,0.5,7.6,8.9,2.8,8,4.4,2.3,0.4
98019,87.1,6.1,13.9,76.3,76.9,68.6,13.7,7.3,1.2,0.3,6.3,8.8,2.4,5.8,3.9,0.2,0
98020,86.8,4.4,28.9,65.5,68.2,54.4,21.8,10.9,2.6,0.2,7.8,24.8,4.8,6.1,3,1.8,0
98021,87.6,5.9,15.9,76.6,76.2,68.9,12.6,6.9,2.1,0.7,5.7,11.2,2.4,5.7,3,1.4,0.3
98022,73.3,12.2,26.3,59.3,59.9,50.4,14.6,7,3.2,1.9,12.7,15.8,4.5,12.1,8.1,1.8,0.2
98023,68,14.1,26.8,57.1,58.1,50.7,9.9,4.9,3.3,1.5,16.4,10.3,2.4,17.4,13.7,1.7,0.4
98024,78.9,11.8,17.4,68,63.9,55.7,17.8,12.1,1.5,0.3,7.3,9.6,1,9.2,6.3,1.5,0
98026,78.8,9.8,23.1,64.3,65.1,55.7,15.8,8.1,2.5,0.5,10.2,14.5,3.5,9.9,6.4,1.3,0.2
98027,86.7,5.5,18.2,74.9,74,65.8,14,8.4,2.2,0.7,7,12.6,2.9,6.6,3.9,1.2,0.2
98028,77.4,8.7,24.7,64.6,66.6,58.2,13.7,6.3,1.2,0.1,11.8,14.1,3.7,13.2,8.1,0.9,0.1
98029,89.5,6.7,11.6,79.7,77.3,70.2,13.8,9,1.6,0.6,3.6,9.7,2.1,2.4,1.5,0.5,0
98030,54.7,17.8,34.8,45.6,47.8,42.2,8.7,3.3,1,0.1,24.8,11.4,3,26.1,21.4,1.2,0.4
98031,67.4,13.8,27.2,56.4,58.5,50.6,10.5,4.8,2.1,1,16.8,10.5,2.5,18,14,1.4,0.3
98032,55.8,20.6,31.4,46.2,48,41.3,9.2,3.6,2.5,1.3,20.7,11.1,2.3,23.5,18.2,1.6,0.2
98033,87,6.1,15.8,75.3,73.4,65.6,16.9,9.3,1.1,0.4,6.3,12,3.5,4.4,2.7,1.2,0.1
98034,79.5,11.2,18.2,69.2,68.9,62.4,11.8,6.3,1.5,0.5,8,11.3,2.6,8.2,5.1,1.2,0.2
98036,70.6,14.1,24.5,60.2,59,52.8,12.4,6.8,1.4,0.6,13.1,13.5,3.4,13.2,9.5,1.5,0.3
98037,68.8,15.1,25.3,57.3,59.6,51.8,11.3,4.9,2,0.5,14.2,12.5,3,14.7,10.9,1.7,0.3
98038,83.6,7.7,18.4,72.4,73.6,66.5,10.9,5.6,1.6,0.3,8,10.5,2.7,8.2,5,1.3,0.3
98039,92.4,2.1,18.3,77.9,67.1,59,28,19,1.3,0,5.5,16.9,4.9,1.3,0.6,1.2,0
98040,91,3,21.1,73.7,69.9,59.5,24.6,14,1.7,0.2,4.8,19.6,3.8,3.6,0.9,0.8,0
98042,79.5,7.9,21.8,68.2,71.1,63.2,9.8,4.7,2.3,0.3,11.4,10.8,2.9,12,8.3,1.8,0.3
98043,69.3,14.4,26.8,57.7,58.9,52.3,11,4.8,1.6,0.6,14.2,13.8,3.3,14.3,10.4,2,0.5
98045,81.8,7.9,19.9,70.6,74.6,66.4,8.4,3.9,1.7,0.3,9.5,9.8,2.3,9.9,7.1,1.5,0
98047,61.6,17.8,28,52.6,54,48,6,1.8,4,2.8,18.1,7.8,2.5,22,15.2,1.9,0.4
98050,89.9,0,10.1,89.9,89.9,89.9,0,0,0,0,10.1,0,0,10.1,10.1,0,0
98051,72.3,12.7,23.3,63.1,60.4,53.6,13.6,9.5,0.3,0,14,9.4,2,13.4,11.6,3.1,0.3
98052,85.4,7.6,13.9,76.8,74.7,69.3,12.4,7.4,0.9,0.1,5.9,9.3,2.2,6.2,3.6,0.8,0
98053,92.2,3.8,16.4,77.6,77.2,66.9,17.1,9.7,2.8,0.9,3.9,13.8,2.8,3.1,1,0.5,0.1
98055,70.4,14.7,24.2,58.6,60.9,53.9,11.8,4.5,1.6,0.3,13.3,12.6,4,13.2,9.2,1.4,0.2
98056,68.3,16.5,23.5,58.4,59.5,52.4,10.6,5.7,1.2,0.3,13.6,10,2.4,15,11,1.2,0.2
98057,58.2,21.2,30.1,48.4,50,43.6,6.9,3.1,2.8,1.7,18.6,14.3,4.9,17.7,13.2,2.1,0.5
98058,75.9,11.1,22.1,64.8,67.6,59.7,9.9,4.3,2,0.9,11.6,11.4,2.4,12,9,1.3,0.2
98059,80.7,9,20.3,68.9,70.9,62.5,12.7,6.1,1,0.3,9.1,11.6,2.5,9.9,6.3,1.2,0.2
98065,93,3.1,10.2,85.4,83.7,79,10,5.9,1.3,0.4,3.7,5.7,0.7,4.4,3.1,0.5,0
98068,69.6,27.9,12.1,60,49.6,49.6,20,10.4,0,0,2.5,9.6,0,2.5,2.5,0,0
98070,82.8,5.5,27.3,65.8,58.1,48.6,26.3,16.2,2,1.1,10.9,20.3,4.9,8.3,5.7,1.4,0.3
98072,86.7,6.3,15.9,75.5,73.8,65.8,14.7,8.7,2.2,0.9,6.4,11.1,3,5.7,3.4,0.8,0.1
98074,94.1,2.2,9.5,85.9,84,78,13.4,7.8,0.8,0,3.3,7,1.6,2.7,1.6,0.5,0
