zip,household_totalno,families_no,median_house_income,median_house_income_errormargin,mean_house_income,mean_house_income_errormargin,median_percentile,,,
98001,11092,8239,72540,3578,85821,5019,,,,
98002,13013,8122,44930,2611,53036,2162,,,,
98003,17780,11093,45563,3263,59931,2838,,,,51371
98004,14740,7878,100344,5330,144908,8244,,,,
98005,7579,4864,85639,6574,121345,9866,,,,
98006,13102,10513,111216,5461,148524,8470,,,,
98007,10271,6387,75264,4462,93126,6785,,,,
98008,8918,6317,88862,5749,115893,5976,,,,
98010,1882,1339,71280,7053,89127,8210,,,,
98011,12426,7928,74975,6018,93191,4340,,,,
98012,20290,14428,86886,4184,101021,4217,,,,
98014,2542,1875,97806,8827,128021,14543,,,,
98019,3915,2811,93004,11082,108412,7761,,,,
98020,8326,5383,79246,4751,110413,8062,,,,
98021,10454,7624,95666,5493,110294,5020,,,,
98022,8384,5527,65864,3224,84091,4248,,,,
98023,17500,12846,67881,4329,83456,3156,,,,
98024,2056,1668,99257,22496,130951,14235,,,,
98026,14573,9677,74071,4078,90955,3527,,,,
98027,10819,7602,102760,7269,128750,6684,,,,
98028,8001,5543,88472,7265,103002,5688,,,,
98029,10457,7085,99519,5869,114663,6547,,,,
98030,11591,8028,52297,4342,64657,3888,,,,
98031,12244,9256,65321,2943,76674,2801,,,,
98032,13554,7493,47030,2508,60401,2972,,,,
98033,15337,9666,103995,3305,134504,7568,,,,
98034,17064,10565,81037,4411,101558,4350,,,,
98036,14098,9485,63118,3820,77166,3104,,,,
98037,10103,6716,60629,4130,73192,3119,,,,
98038,11823,8958,93573,4684,105746,3804,,,,
98039,1054,886,182308,22505,310533,54271,,,,
98040,9431,6809,125651,6305,187309,10907,,,,
98042,15890,11868,88006,4475,96711,3368,,,,
98043,8225,5128,61396,3520,71622,3864,,,,
98045,5551,4193,87470,10469,107704,8482,,,,
98047,2290,1616,52222,7407,58958,5378,,,,
98050,55,55,247188,76130,264362,44106,,,,
98051,1262,985,78941,5412,93808,9058,,,,
98052,24893,15584,103086,3761,125547,5142,,,,
98053,7757,5975,119637,9398,150048,9575,,,,
98055,8659,5093,63030,4369,74456,3688,,,,
98056,13160,8294,72420,4618,92007,5419,,,,
98057,5496,2260,42500,4246,61184,8630,,,,
98058,15538,11118,81221,2859,93813,3061,,,,
98059,13032,9774,93486,5108,110063,4560,,,,
98065,4482,3645,123548,8759,141594,8706,,,,
98068,132,58,53864,25437,65132,14760,,,,
98070,4704,2814,72568,6142,91788,8419,,,,
98072,8586,6086,107009,4409,141924,10132,,,,
98074,8704,7701,140799,6149,165835,9101,,,,
98075,7090,6133,149557,8563,184692,10382,,,,
98077,4742,4077,136833,10120,185870,17531,,,,
98087,11528,7395,66135,4790,76994,3572,,,,
98092,14978,10357,71803,4601,87131,4848,,,,
98101,7637,1562,48337,7521,87095,10070,,,,
98102,14117,3655,68109,4855,95799,6087,,,,
98103,22736,9424,76925,4049,99938,3827,,,,
98104,7038,1547,30461,2570,57490,4454,,,,
98105,15190,5611,47474,3934,88071,5785,,,,
98106,10002,5659,53949,3683,68057,3713,,,,
98107,11829,4810,71597,4705,88860,6194,,,,
98108,7886,5311,52934,2889,70088,4029,,,,
98109,13043,3750,81134,3845,101209,5736,,,,
98110,9404,6711,95976,9127,132572,11266,,,,
98112,10395,5121,100694,7476,151533,9921,,,,
98115,20694,11306,88633,3219,112272,4010,,,,
98116,11398,5617,73667,5900,106456,13169,,,,
98117,13588,7707,91199,3338,105324,3466,,,,
98118,15804,9900,53415,2408,73951,3320,,,,
98119,11390,4265,74661,3740,120856,9069,,,,
98121,8887,1913,72544,8160,91764,9052,,,,
98122,16183,5179,55725,5142,89153,7350,,,,
98125,17540,8415,52353,3109,73878,3972,,,,
98126,9349,5234,67359,4115,90734,6165,,,,
98133,20489,10614,52663,2589,66389,2635,,,,
98134,222,67,42972,7486,44136,7727,,,,
98136,7111,3705,85040,10356,105885,7048,,,,
98144,12033,5836,60143,6155,84061,5540,,,,
98146,9388,6032,56320,4196,76487,4591,,,,
98148,4135,2395,46737,4314,58501,3759,,,,
98154,0,0,-,**,-,**,,,,
98155,13276,8285,72241,3919,92296,4453,,,,
98158,0,0,-,**,-,**,,,,
98164,47,25,85150,58661,62132,33842,,,,
98166,8596,5479,65374,3519,90032,4548,,,,
98168,11532,7127,50054,3463,61030,3091,,,,
98174,0,0,-,**,-,**,,,,
98177,7628,5138,90758,8119,124399,8335,,,,
98178,8583,5682,59637,7402,74494,5765,,,,
98188,9712,5379,40656,3702,52971,2787,,,,
98195,0,0,-,**,-,**,,,,
98198,12876,7894,55516,3232,70061,3860,,,,
98199,9122,5025,83611,8741,123642,7742,,,,
98201,12418,5769,43121,2408,55582,2327,,,,
98203,13244,8097,57261,2405,74204,3084,,,,
98204,16139,8474,43476,2819,53210,2356,,,,
98205,4251,3235,72639,6254,83150,4561,,,,
98207,0,0,-,**,-,**,,,,
98208,19249,13419,74580,2943,82089,2546,,,,
98220,281,281,47216,75838,60417,25919,,,,
98221,9026,5926,60811,1578,76673,1812,,,,
98222,34,15,58750,13418,94426,37684,,,,
98223,14796,10689,66092,3111,77055,2906,,,,
98224,162,65,32813,18094,37054,10421,,,,
98225,19242,8472,37189,2416,54399,2711,,,,
98226,16275,10343,55925,2663,67702,3058,,,,
98229,12588,8150,59709,2676,75010,3850,,,,
98230,6719,4314,58277,5320,73863,6415,,,,
98232,1511,1078,74750,13172,85671,10562,,,,
98233,5468,3648,54867,4511,65275,3861,,,,
98235,22,11,-,**,N,N,,,,
98236,2610,1658,61558,6055,81157,8790,,,,
98237,1548,1097,53013,7346,56182,4800,,,,
98238,6,6,-,**,N,N,,,,
98239,3034,2176,61429,7334,82334,13473,,,,
98240,1046,863,59615,8459,69614,8933,,,,
98241,865,545,39087,10697,83499,45908,,,,
98243,203,135,63125,67814,101813,22220,,,,
98244,1200,825,44911,13526,60530,10440,,,,
98245,1859,1068,45063,3066,67657,7445,,,,
98247,3311,2539,59852,4741,87534,24298,,,,
98248,8272,6271,59369,7211,65230,3064,,,,
98249,2069,1408,60153,6162,87892,16442,,,,
98250,3599,2251,61116,1873,86480,6612,,,,
98251,1750,1117,67012,14984,71445,6507,,,,
98252,3440,2266,68958,10040,78037,6743,,,,
98253,928,628,63971,18402,77253,16916,,,,
98255,76,45,27500,19715,37770,10432,,,,
98256,261,129,41250,21940,48568,12498,,,,
98257,1749,1148,53650,4628,65164,3361,,,,
98258,10861,8149,77616,3101,86300,3373,,,,
98260,2457,1623,63650,6654,84726,9702,,,,
98261,1248,816,49052,5984,68855,4213,,,,
98262,508,317,67813,14287,68495,9198,,,,
98263,27,19,34125,64556,56437,26949,,,,
98264,6692,4894,59354,2938,68254,3704,,,,
98266,1369,922,42847,6907,51952,8425,,,,
98267,262,156,28125,18407,39310,13898,,,,
98270,17006,11833,64644,3549,73510,2659,,,,
98271,9818,7284,65907,2569,76221,2518,,,,
98272,8650,6715,80113,4517,88833,3776,,,,
98273,10467,7309,49945,2256,64104,3690,,,,
98274,6364,4526,57756,4180,76251,6720,,,,
98275,7975,5663,89942,7730,112877,6103,,,,
98276,173,164,67454,13443,65927,7480,,,,
98277,15437,10315,53792,2090,65997,3861,,,,
98278,0,0,-,**,-,**,,,,
98279,305,192,51125,10800,73317,10140,,,,
98280,180,134,82857,40766,135301,53197,,,,
98281,663,364,50133,9940,71879,18734,,,,
98282,6285,4648,66890,3831,78729,3601,,,,
98283,201,86,30298,28408,45235,17492,,,,
98284,9174,6347,56114,5264,68254,4945,,,,
98286,89,69,59375,26877,84829,17311,,,,
98288,76,45,30000,19191,59033,20954,,,,
98290,11905,8792,76569,3101,91033,3538,,,,
98292,7996,6062,73511,4526,81627,4252,,,,
98294,2472,1655,54098,5740,59190,4753,,,,
98295,849,692,61625,17424,67878,7928,,,,
98296,9588,8028,108793,6468,124190,7207,,,,
98297,38,24,34583,6398,35816,9626,,,,
98303,483,341,45694,17894,73878,20193,,,,
98304,289,87,36701,9633,45425,11384,,,,
98305,142,49,38333,23268,43915,20637,,,,
98310,8514,4490,46017,2945,55986,2330,,,,
98311,10191,6937,68056,4553,76732,3875,,,,
98312,12362,7850,56036,2810,68453,2973,,,,
98314,25,25,150729,29908,150592,24868,,,,
98315,1321,1291,45707,5394,50735,5422,,,,
98320,607,344,39911,9959,48799,7652,,,,
98321,4958,3800,72098,7776,81348,4314,,,,
98323,231,141,56528,12812,56775,6490,,,,
98325,675,557,58125,28281,76151,14106,,,,
98326,204,109,13667,13023,30363,11427,,,,
98327,3141,2270,81329,8836,92632,7594,,,,
98328,3740,2458,61250,7182,71830,5221,,,,
98329,3944,2968,68170,5129,81859,5743,,,,
98330,94,20,7891,81232,52760,93439,,,,
98331,2381,1433,38054,6203,48425,5514,,,,
98332,5936,4472,83790,5751,118319,12128,,,,
98333,1355,1028,95487,10445,120612,17549,,,,
98335,9683,6903,78044,6546,109884,7618,,,,
98336,373,195,34205,9847,36396,6094,,,,
98337,2730,1263,34299,5301,45769,4606,,,,
98338,8669,6421,68104,3783,76614,3447,,,,
98339,1344,793,32075,5089,41674,5081,,,,
98340,1201,775,65586,20515,77145,11924,,,,
98342,609,397,65875,10184,83779,10170,,,,
98345,227,220,82532,48198,83569,17220,,,,
98346,3875,3002,69625,11000,78726,5522,,,,
98349,1749,1163,52339,4990,67038,8838,,,,
98350,130,111,40500,14819,45025,8836,,,,
98351,433,334,53050,18894,64401,18510,,,,
98353,13,13,-,**,N,N,,,,
98354,2833,1846,67485,6805,87624,15997,,,,
98355,287,152,34544,11689,71577,34886,,,,
98356,914,606,35929,3290,44186,5380,,,,
98357,488,343,35667,9879,54219,9595,,,,
98358,463,335,60647,6856,66529,10105,,,,
98359,1696,1311,68977,10627,79221,8274,,,,
98360,4054,3215,76500,4255,80610,4267,,,,
98361,605,410,35208,8922,54164,19850,,,,
98362,9890,5720,46540,3756,58550,2615,,,,
98363,5548,3595,48398,2586,58977,4057,,,,
98364,32,32,-,**,N,N,,,,
98365,2050,1464,62143,10050,77834,8738,,,,
98366,12555,8360,57413,2171,68704,3405,,,,
98367,10154,7731,73811,4626,82096,3730,,,,
98368,7206,3796,44085,4722,59631,4160,,,,
98370,11448,7823,70738,3617,84069,4172,,,,
98371,8045,5188,66067,3213,77405,3664,,,,
98372,9004,5922,63121,4392,79145,3861,,,,
98373,8803,6197,61228,3429,73406,3485,,,,
98374,13434,9969,76880,3161,85951,2890,,,,
98375,9239,7261,71132,4844,81645,4137,,,,
98376,829,520,49125,4811,68197,10801,,,,
98377,839,486,29846,13119,39837,6486,,,,
98380,1856,1209,76458,15316,93493,15131,,,,
98381,204,141,53409,16457,55465,13143,,,,
98382,12337,7322,48228,1931,61272,2656,,,,
98383,8508,5365,62113,3421,79797,4309,,,,
98385,134,100,70227,5889,71735,14120,,,,
98387,14737,11174,63994,3508,70928,2764,,,,
98388,2682,1846,57880,6923,83326,7237,,,,
98390,4221,2549,54522,5510,69596,5017,,,,
98391,15457,12082,81918,2366,94450,2877,,,,
98392,1262,735,54688,5545,67134,3975,,,,
98394,457,372,49464,25373,73396,14918,,,,
98396,241,174,67250,10121,78361,10283,,,,
98402,3363,816,33299,4876,50402,5542,,,,
98403,4201,1596,58337,5985,77907,7700,,,,
98404,10668,7310,43333,3401,49367,2071,,,,
98405,9228,4831,44787,2998,53546,2433,,,,
98406,9152,5049,62328,3083,76948,3267,,,,
98407,8815,5162,65939,4402,92004,6205,,,,
98408,7137,4235,46439,5498,58181,3638,,,,
98409,9180,5285,48357,2002,54303,2591,,,,
98416,0,0,-,**,-,**,,,,
98418,3728,2285,47851,5390,54273,5243,,,,
98421,0,0,-,**,-,**,,,,
98422,7411,5470,81761,3530,103146,3572,,,,
98424,3784,2383,58008,4390,65464,2652,,,,
98430,4,4,-,**,N,N,,,,
98433,3817,3674,48869,3539,54172,3380,,,,
98438,8,8,-,**,N,N,,,,
98439,1864,1225,35590,5170,41449,3608,,,,
98443,2235,1517,61307,6014,77171,5211,,,,
98444,12724,7715,39743,1924,48758,2756,,,,
98445,10837,7695,59135,4587,67671,3214,,,,
98446,3751,2605,64163,5703,75876,7488,,,,
98447,0,0,-,**,-,**,,,,
98465,3082,1474,46857,11430,68730,7847,,,,
98466,11304,7058,54010,3006,71543,3537,,,,
98467,6374,4469,60125,6146,76031,5312,,,,
98498,11175,6813,56133,2710,70399,3311,,,,
98499,12480,6870,39046,2516,53923,2960,,,,
