zip,household_totalno,families_no,median_house_income,median_house_income_errormargin,mean_house_income,mean_house_income_errormargin,median_percentile,,,
98001,11092,8239,72540,3578,85821,5019,39.43,,,
98002,13013,8122,44930,2611,53036,2162,28.66,,,
98003,17780,11093,45563,3263,59931,2838,28.99,,,51371
98004,14740,7878,100344,5330,144908,8244,44.05,,,
98005,7579,4864,85639,6574,121345,9866,42.32,,,
98006,13102,10513,111216,5461,148524,8470,44.41,,,
98007,10271,6387,75264,4462,93126,6785,40.14,,,
98008,8918,6317,88862,5749,115893,5976,42.83,,,
98010,1882,1339,71280,7053,89127,8210,39.08,,,
98011,12426,7928,74975,6018,93191,4340,40.07,,,
98012,20290,14428,86886,4184,101021,4217,42.52,,,
98014,2542,1875,97806,8827,128021,14543,43.86,,,
98019,3915,2811,93004,11082,108412,7761,43.38,,,
98020,8326,5383,79246,4751,110413,8062,41.08,,,
98021,10454,7624,95666,5493,110294,5020,43.66,,,
98022,8384,5527,65864,3224,84091,4248,37.44,,,
98023,17500,12846,67881,4329,83456,3156,38.08,,,
98024,2056,1668,99257,22496,130951,14235,43.98,,,
98026,14573,9677,74071,4078,90955,3527,39.84,,,
98027,10819,7602,102760,7269,128750,6684,44.20,,,
98028,8001,5543,88472,7265,103002,5688,42.77,,,
98029,10457,7085,99519,5869,114663,6547,44.00,,,
98030,11591,8028,52297,4342,64657,3888,32.20,,,
98031,12244,9256,65321,2943,76674,2801,37.26,,,
98032,13554,7493,47030,2508,60401,2972,29.73,,,
98033,15337,9666,103995,3305,134504,7568,44.26,,,
98034,17064,10565,81037,4411,101558,4350,41.45,,,
98036,14098,9485,63118,3820,77166,3104,36.51,,,
98037,10103,6716,60629,4130,73192,3119,35.61,,,
98038,11823,8958,93573,4684,105746,3804,43.44,,,
98039,1054,886,182308,22505,310533,54271,32.45,,,
98040,9431,6809,125651,6305,187309,10907,43.81,,,
98042,15890,11868,88006,4475,96711,3368,42.70,,,
98043,8225,5128,61396,3520,71622,3864,35.89,,,
98045,5551,4193,87470,10469,107704,8482,42.62,,,
98047,2290,1616,52222,7407,58958,5378,32.17,,,
98050,55,55,247188,76130,264362,44106,11.54,,,
98051,1262,985,78941,5412,93808,9058,41.01,,,
98052,24893,15584,103086,3761,125547,5142,44.21,,,
98053,7757,5975,119637,9398,150048,9575,44.20,,,
98055,8659,5093,63030,4369,74456,3688,36.48,,,
98056,13160,8294,72420,4618,92007,5419,39.40,,,
98057,5496,2260,42500,4246,61184,8630,27.38,,,
98058,15538,11118,81221,2859,93813,3061,41.49,,,
98059,13032,9774,93486,5108,110063,4560,43.43,,,
98065,4482,3645,123548,8759,141594,8706,43.97,,,
98068,132,58,53864,25437,65132,14760,32.89,,,
98070,4704,2814,72568,6142,91788,8419,39.44,,,
98072,8586,6086,107009,4409,141924,10132,44.36,,,
98074,8704,7701,140799,6149,165835,9101,42.00,,,
98075,7090,6133,149557,8563,184692,10382,40.49,,,
98077,4742,4077,136833,10120,185870,17531,42.58,,,
98087,11528,7395,66135,4790,76994,3572,37.53,,,
98092,14978,10357,71803,4601,87131,4848,39.23,,,
98101,7637,1562,48337,7521,87095,10070,30.36,,,
98102,14117,3655,68109,4855,95799,6087,38.15,,,
98103,22736,9424,76925,4049,99938,3827,40.55,,,
98104,7038,1547,30461,2570,57490,4454,20.18,,,
98105,15190,5611,47474,3934,88071,5785,29.94,,,
98106,10002,5659,53949,3683,68057,3713,32.93,,,
98107,11829,4810,71597,4705,88860,6194,39.17,,,
98108,7886,5311,52934,2889,70088,4029,32.49,,,
98109,13043,3750,81134,3845,101209,5736,41.47,,,
98110,9404,6711,95976,9127,132572,11266,43.69,,,
98112,10395,5121,100694,7476,151533,9921,44.08,,,
98115,20694,11306,88633,3219,112272,4010,42.79,,,
98116,11398,5617,73667,5900,106456,13169,39.73,,,
98117,13588,7707,91199,3338,105324,3466,43.15,,,
98118,15804,9900,53415,2408,73951,3320,32.70,,,
98119,11390,4265,74661,3740,120856,9069,39.99,,,
98121,8887,1913,72544,8160,91764,9052,39.43,,,
98122,16183,5179,55725,5142,89153,7350,33.68,,,
98125,17540,8415,52353,3109,73878,3972,32.23,,,
98126,9349,5234,67359,4115,90734,6165,37.92,,,
98133,20489,10614,52663,2589,66389,2635,32.37,,,
98134,222,67,42972,7486,44136,7727,27.64,,,
98136,7111,3705,85040,10356,105885,7048,42.21,,,
98144,12033,5836,60143,6155,84061,5540,35.43,,,
98146,9388,6032,56320,4196,76487,4591,33.93,,,
98148,4135,2395,46737,4314,58501,3759,29.58,,,
98154,0,0,-,**,-,**,#VALUE!,,,
98155,13276,8285,72241,3919,92296,4453,39.35,,,
98158,0,0,-,**,-,**,#VALUE!,,,
98164,47,25,85150,58661,62132,33842,42.23,,,
98166,8596,5479,65374,3519,90032,4548,37.28,,,
98168,11532,7127,50054,3463,61030,3091,31.18,,,
98174,0,0,-,**,-,**,#VALUE!,,,
98177,7628,5138,90758,8119,124399,8335,43.09,,,
98178,8583,5682,59637,7402,74494,5765,35.24,,,
98188,9712,5379,40656,3702,52971,2787,26.37,,,
98195,0,0,-,**,-,**,#VALUE!,,,
98198,12876,7894,55516,3232,70061,3860,33.59,,,
98199,9122,5025,83611,8741,123642,7742,41.96,,,
98201,12418,5769,43121,2408,55582,2327,27.72,,,
98203,13244,8097,57261,2405,74204,3084,34.31,,,
98204,16139,8474,43476,2819,53210,2356,27.90,,,
98205,4251,3235,72639,6254,83150,4561,39.46,,,
98207,0,0,-,**,-,**,#VALUE!,,,
98208,19249,13419,74580,2943,82089,2546,39.97,,,
98220,281,281,47216,75838,60417,25919,29.82,,,
98221,9026,5926,60811,1578,76673,1812,35.68,,,
98222,34,15,58750,13418,94426,37684,34.90,,,
