GEO.id,GEO.id2,GEO.display-label,HC05_EST_VC01,HC05_EST_VC68,HC05_EST_VC69,HC05_EST_VC70,HC05_EST_VC71,HC05_EST_VC72,HC05_EST_VC73,HC05_EST_VC74,HC05_EST_VC75,HC05_EST_VC76,HC05_EST_VC77,HC05_EST_VC78,HC05_EST_VC79,HC05_EST_VC80,HC05_EST_VC81,HC05_EST_VC82,HC05_EST_VC83,HC05_EST_VC84
Id,Id2,Geography,Percent Insured by  Coverage Type; Estimate; Total civilian noninstitutionalized population,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - Private health insurance,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - Private health insurance - Private health insurance alone,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - Employment-based health insurance,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - Employment-based health insurance - Employment-based health insurance alone,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - Direct-purchase health insurance,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - Direct-purchase health insurance - Direct-purchase health insurance alone,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - TRICARE/military health coverage,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - TRICARE/military health coverage - TRICARE/military health coverage alone,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - Public coverage,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - Public coverage - Public coverage alone,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - Medicare coverage,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - Medicare coverage - Medicare coverage alone,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - Medicaid/means-tested public coverage,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - Medicaid/means-tested public coverage - Medicaid/means-tested public coverage alone,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - VA Health Care,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - VA Health Care - VA Health Care alone,Percent Insured by  Coverage Type; Estimate; HEALTH COVERAGE BY TYPE - Uninsured
8600000US00601,601,601,90.6,25.3,20.9,5.5,4.5,19.9,16.3,0.3,0.1,69.3,58.6,17.6,8.3,58.2,49.9,0.8,0.4,9.4
8600000US00602,602,602,93.9,31.5,25.8,24.6,20.3,7.6,5.5,0.3,0.1,67.4,51.3,20.2,5.5,58,45.6,1.4,0.2,6.1
8600000US00603,603,603,94,33.6,27.1,25.5,21,7.6,5.4,1.6,0.6,66.3,50.2,21.8,7.5,53.9,42.6,2.3,0.2,6
8600000US00606,606,606,95.1,29,22.9,24.2,18.6,5.8,4.3,0,0,71.1,56.9,16.7,4.1,63.8,52.8,0.2,0,4.9
8600000US00610,610,610,97.1,35.1,29.4,29.2,25.1,6.7,4.3,0.3,0,66.8,52.3,20.6,7.6,55.7,44.6,1,0.1,2.9
8600000US00612,612,612,93.3,38.5,31.9,25,21.6,13.4,10.1,0.7,0.1,61.1,47.2,22.5,10.1,46,36.9,1.2,0.2,6.7
8600000US00616,616,616,92.1,38.6,26.8,20.2,17.7,18.7,9,0,0,65.1,45.5,23,5.8,49.8,39.4,1,0.4,7.9
8600000US00617,617,617,93.8,37.9,33.5,30.4,27.1,7.9,6.2,0.3,0.2,59.9,48.9,18.6,10.6,48,38.3,0.6,0,6.2
8600000US00622,622,622,98.1,35.3,25.8,25.4,20.1,9.7,5.2,0.6,0.5,72.4,51.7,26.9,6.9,55.9,44,2.1,0.8,1.9
8600000US00623,623,623,93.3,41.1,33.6,33.6,28.9,7.7,4.7,0.7,0,59.2,42.5,21,5.6,47.9,36.8,0.9,0.1,6.7
8600000US00624,624,624,95.3,28.6,23.3,22.6,18.8,7,4.2,0.7,0.2,70.8,60.5,15.3,7,61.3,53.4,1.4,0.1,4.7
8600000US00627,627,627,94.3,31.9,27.2,18.5,15.9,14.2,11.2,0.4,0.1,66.3,53.3,21.3,9.3,53.5,43.9,1.1,0.2,5.7
8600000US00631,631,631,91.9,15.8,13.9,6.6,6.1,9.3,7.7,0,0,78,68.2,20.7,11.3,65.2,56.9,0,0,8.1
8600000US00637,637,637,94.2,34.5,27.9,25.4,21,10.5,6.7,0.8,0.2,64.6,52.7,21.9,11.6,49.3,41,1.4,0.1,5.8
8600000US00638,638,638,95.5,27.4,17.7,11.2,9.8,15.7,7.4,0.6,0.5,77.8,59.3,21.8,4.5,65.6,54.6,0.7,0.2,4.5
8600000US00641,641,641,91.6,25.8,21,13.2,11,13,9.9,0.4,0.1,70.1,57.6,20.5,9.3,57.4,48.1,1,0.1,8.4
8600000US00646,646,646,94.2,49.1,42.7,33.3,29.4,17,12.7,1.3,0.5,49.4,40.1,17.9,10.4,36.1,29.5,1.7,0.3,5.8
8600000US00647,647,647,90.2,29.8,21.8,19.9,14.1,10,7.1,1.8,0.6,67.5,48.4,28.9,12.7,51.6,35.6,1.2,0.1,9.8
8600000US00650,650,650,93.1,26.1,21.7,20.6,18,5.9,3.7,0.2,0,70.9,59,20.6,9.9,58.4,49.1,0.2,0,6.9
8600000US00652,652,652,94.5,47.1,39.2,31.2,29.8,16.4,9.5,0,0,55,39.4,20.1,6.2,42.6,32.8,0.4,0.4,5.5
8600000US00653,653,653,94.4,19.5,15.3,13.9,11.4,6.3,3.9,0.3,0,78.4,65.4,20.6,8.8,67.1,56.5,1.2,0.1,5.6
8600000US00656,656,656,95.6,35.3,29.5,27.1,24.1,9,5.3,0.7,0.1,65,53.3,18.8,8.6,53,44.4,2,0.3,4.4
8600000US00659,659,659,94,38.6,32.7,29.3,26.3,9.1,6.2,1.1,0.2,60.7,46.1,19.2,5.8,50.5,40.1,1.1,0.2,6
8600000US00660,660,660,94.7,46.1,30.7,30.1,20.2,20,10.3,1.7,0.1,59.9,39,26.4,9.2,43.4,29.4,2.4,0.3,5.3
8600000US00662,662,662,92.5,31.2,27.9,21.5,19.8,8.5,7,1.7,1.1,64.3,48.7,21.6,6.8,54.7,41.5,1.3,0.4,7.5
8600000US00664,664,664,97.8,29.1,23.8,21.9,18.7,8,5,0.5,0.2,72.8,60,17.1,5.9,64.6,53.8,0.8,0.2,2.2
8600000US00667,667,667,95,31.3,23.9,26,21.1,5.6,2.7,0.6,0.1,70.7,51.6,23.1,5.1,59.2,46.4,1.6,0.1,5
8600000US00669,669,669,88.5,21.8,18.1,4.5,3.2,16.9,14.6,0.5,0.2,70.3,59.3,18.8,9.3,58.3,49.6,1,0.4,11.5
8600000US00670,670,670,96.4,31.4,27.4,26.6,23.6,5.3,3.8,0.1,0,68.6,56.5,18.7,7.4,58.1,49.1,0.7,0,3.6
8600000US00674,674,674,91.8,39.5,32.1,22.7,18.3,17.5,13.7,0.8,0.2,58.8,40,22,5.4,50.2,34.5,1.3,0.1,8.2
8600000US00676,676,676,94.5,30.4,25.2,22.5,18.7,8,6.1,1,0.4,68.3,53.1,18.9,5.5,60.1,47.5,1.1,0.1,5.5
8600000US00677,677,677,95.7,34,25.2,26,18.7,8.9,6.4,0.8,0.1,69.9,51.3,24.6,7.8,54.4,43.2,3.1,0.3,4.3
8600000US00678,678,678,95.8,26.9,23.5,19.3,16.8,7.7,6.4,0.5,0.3,71.7,54.8,22.1,6.3,63.6,48.5,0.7,0,4.2
8600000US00680,680,680,93.8,37,26,24.8,17.5,15.1,8.4,0.7,0.2,64.7,48.7,23.7,9.9,49.1,38.5,1.6,0.2,6.2
8600000US00682,682,682,92.4,44.3,31.9,29.9,22.3,17,9.3,1.3,0.3,57.4,42.2,20.2,7.3,43.5,34.9,1.9,0.1,7.6
