cost,quality_total,quality_care,quality_efficiency,quality_patexp,quality_outcome,discharge,provider_id,provider
0.000718907,0.597771387,0.051761323,0.917325665,0.620416966,0,0,190006,UNIVERSITY HOSPITAL & CLINICS
0.000359454,0.991373113,0.992810927,0.981308411,0.801222142,0,0,450221,MOORE COUNTY HOSPITAL DISTRICT
0,0.941768512,0.82674335,0.001437815,0.980948958,0,0,190257,GREEN CLINIC SURGICAL HOSPITAL
0.011143063,0.70201294,0.100647017,0.001437815,0.932063264,0.800862689,0,370190,"SOUTHWESTERN REGIONAL MEDICAL CENTER, INC"
0.002875629,0.922717469,0.992810927,0.566498922,0.834291876,0,0.001437815,490143,RIVERSIDE DOCTORS' HOSPITAL OF WILLIAMSBURG
0.001078361,0.278936017,0.547447879,0.759884975,0.054996405,0,0.001797268,50113,SAN MATEO MEDICAL CENTER
0.003235083,0.969805895,0.992810927,0.981308411,0.308770669,0,0.001797268,50765,KAISER FOUNDATION HOSPITAL-MORENO VALLEY
0.004672897,0.827462257,0.400071891,0.001437815,0.962616822,0,0.002516175,450883,BAYLOR MEDICAL CENTER AT TROPHY CLUB
0.004313444,0.993889288,0.580517613,0,0.992810927,0,0.002516175,190241,PHYSICIANS MEDICAL CENTER
0.007548526,0.956865564,0.580517613,0.671099928,0.978792236,0,0.003235083,450891,TEXAS HEALTH CENTER FOR DIAGNOSTICS & SURGERY PLAN
0.001437815,0.920560748,0.656721783,0.917325665,0.71387491,0,0.003594536,370173,CLAREMORE INDIAN HOSPITAL
0.006470165,0.833932423,0.437095615,0.876707405,0.668583753,0,0.003594536,50717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR
0.008267434,0.87526959,0.121135873,0.566498922,0.992810927,0,0.003594536,190267,FAIRWAY MEDICAL CENTER
0.005032351,0.535226456,0.907979871,0.001437815,0,0,0.004672897,360361,KINGS DAUGHTERS MEDICAL CENTER OHIO
0.005391804,0.063263839,0.400071891,0.001437815,0,0,0.004672897,230301,OAKLAND REGIONAL HOSPITAL
0.002156722,0.520488857,0.13767074,0.876707405,0.462616822,0,0.005391804,450155,HEREFORD REGIONAL MEDICAL CENTER
0.001797268,0.804816679,0,0.671099928,0,0.861969806,0.005391804,450584,WILBARGER GENERAL HOSPITAL
0.006110712,0.965492451,0.682961898,0,0.686196981,0.986340762,0.006110712,50677,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS
0.002516175,0.915528397,0,0.981308411,0.380661395,0,0.006110712,20018,YUKON KUSKOKWIM DELTA REG HOSPITAL
0.008986341,0.759525521,0.383896477,0.826024443,0.653846154,0,0.006829619,380056,SANTIAM MEMORIAL HOSPITAL
0.00395399,0.649173257,0,0.917325665,0.290438533,0,0.007189073,450144,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO
0.006829619,0.566498922,0.215312725,0.671099928,0.751976995,0,0.007548526,360189,MADISON COUNTY HOSPITAL INC
0.038461538,0.823148814,0.860891445,0.001437815,0.888928828,0,0.00790798,60118,ST ANTHONY SUMMIT MEDICAL CENTER
0.010424155,0.234004313,0,0.566498922,0.53271028,0,0.008267434,30132,"FLORENCE HOSPITAL AT ANTHEM, LLC"
0.009345794,0.997843278,0,0.981308411,0.928828181,0,0.008626887,30120,GILBERT HOSPITAL
0.039180446,0.860172538,0.400071891,0.001437815,0.975916607,0,0.008626887,450808,NORTHWEST HILLS SURGICAL HOSPITAL
0.013299784,0.964773544,0.639468009,0.94356578,0.5891445,0.986340762,0.008626887,50710,KAISER FOUNDATION HOSPITAL - FRESNO
0.021207764,0.855140187,0.400071891,0.001437815,0.932063264,0.904385334,0.008626887,140100,MIDWESTERN REGION MED CENTER
0.003594536,0.787562904,0.172537743,0.94356578,0.53271028,0,0.010064702,110130,IRWIN COUNTY HOSPITAL
0.007189073,0.977354421,0.147016535,0.981308411,0.944284687,0,0.010424155,370172,CHOCTAW NATION HEALTH SERVICES AUTHORITY
0.01186197,0.911574407,0.777857656,0.001437815,0.968368081,0,0.010783609,450889,TEXAS INSTITUTE FOR SURGERY AT PRESBYTERIAN HOSPIT
0.00790798,0.991373113,0.992810927,0.759884975,0.989575845,0,0.010783609,50697,PATIENTS' HOSPITAL OF REDDING
0.010783609,0.144500359,0.563623293,0.001437815,0,0,0.010783609,450796,NORTHWEST TEXAS SURGERY CENTER
0.008626887,0.168583753,0.078360891,0.759884975,0,0,0.010783609,430096,LEWIS AND CLARK SPECIALTY HOSPITAL
0.015097052,0.921998562,0.295111431,0.981308411,0.639108555,0,0.012221423,120028,NORTH HAWAII COMMUNITY HOSPITAL
0.010064702,0.901869159,0.580517613,0.001437815,0.980948958,0,0.012580877,450874,BAYLOR SURGICAL HOSPITAL AT LAS COLINAS
0.014018692,0.787203451,0.606757728,0.759884975,0.668583753,0,0.012940331,110111,UNIVERSITY MCDUFFIE COUNTY REGIONAL MEDICAL CENTER
0.011502516,0.97627606,0,0.671099928,0.992810927,0,0.012940331,100313,SACRED HEART HOSPITAL ON THE GULF
0.009705248,0.999640546,0.694823868,0.981308411,0.992810927,0,0.012940331,450834,"PHYSICIANS CENTRE,THE"
0.024083393,0.973040978,0.580517613,0.981308411,0.49604601,0.986340762,0.012940331,50510,KAISER FOUNDATION HOSPITAL
0.005751258,0.000718907,0.091660676,0.001437815,0,0,0.014378145,190297,DOCTORS HOSPITAL AT DEER CREEK LLC
0.016894321,0.877066858,0.445003595,0.981308411,0.552839684,0.549964055,0.014378145,50138,KAISER FOUNDATION HOSPITAL - LOS ANGELES
0.017613228,0.067936736,0.483465133,0.001437815,0.190150971,0,0.015097052,460017,BRIGHAM CITY COMMUNITY HOSPITAL
0.016534867,0.907979871,0.933141625,0.917325665,0.482746226,0.740115025,0.015456506,50137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY
