Id,zip,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households
8600000US00601,601,ZCTA5 00601,5820,223,10833,1531
8600000US00602,602,ZCTA5 00602,13046,404,16353,977
8600000US00603,603,ZCTA5 00603,18020,490,16323,872
8600000US00606,606,ZCTA5 00606,1898,156,14138,2157
8600000US00610,610,ZCTA5 00610,9449,302,17265,1065
8600000US00612,612,ZCTA5 00612,23463,683,17752,783
8600000US00616,616,ZCTA5 00616,3660,286,15115,2164
8600000US00617,617,ZCTA5 00617,8308,355,15461,1514
8600000US00622,622,ZCTA5 00622,2361,288,14993,3916
8600000US00623,623,ZCTA5 00623,14104,563,17044,1186
8600000US00624,624,ZCTA5 00624,8038,221,15467,1368
8600000US00627,627,ZCTA5 00627,11543,348,19490,1493
8600000US00631,631,ZCTA5 00631,627,103,9613,3565
8600000US00637,637,ZCTA5 00637,7128,330,14977,1438
8600000US00638,638,ZCTA5 00638,5810,237,12588,1098
8600000US00641,641,ZCTA5 00641,9802,289,15542,953
8600000US00646,646,ZCTA5 00646,12451,397,27924,2746
8600000US00647,647,ZCTA5 00647,1695,157,13668,1742
8600000US00650,650,ZCTA5 00650,4853,266,15090,1881
8600000US00652,652,ZCTA5 00652,1376,206,14903,5815
8600000US00653,653,ZCTA5 00653,3876,224,13596,1249
8600000US00656,656,ZCTA5 00656,6552,221,15440,1343
8600000US00659,659,ZCTA5 00659,13982,422,19130,1225
8600000US00660,660,ZCTA5 00660,6444,240,21323,1848
8600000US00662,662,ZCTA5 00662,14862,430,16050,824
8600000US00664,664,ZCTA5 00664,4748,265,15976,1931
8600000US00667,667,ZCTA5 00667,8482,392,13527,1343
8600000US00669,669,ZCTA5 00669,9810,307,11967,822
8600000US00670,670,ZCTA5 00670,3128,177,14989,2037
8600000US00674,674,ZCTA5 00674,16096,458,18796,1174
8600000US00676,676,ZCTA5 00676,11862,434,15277,1326
8600000US00677,677,ZCTA5 00677,5767,309,16737,1141
8600000US00678,678,ZCTA5 00678,9448,297,14824,1313
8600000US00680,680,ZCTA5 00680,19683,486,15173,786
8600000US00682,682,ZCTA5 00682,11363,475,15868,1230
8600000US00683,683,ZCTA5 00683,11726,337,15030,1143
8600000US00685,685,ZCTA5 00685,13376,446,14686,974
8600000US00687,687,ZCTA5 00687,9716,315,16086,1471
8600000US00688,688,ZCTA5 00688,4186,271,14135,1479
8600000US00690,690,ZCTA5 00690,2044,211,19688,2441
8600000US00692,692,ZCTA5 00692,11529,391,18003,1235
8600000US00693,693,ZCTA5 00693,17717,531,16709,858
8600000US00694,694,ZCTA5 00694,79,49,11250,3634
8600000US00698,698,ZCTA5 00698,10729,370,15414,895
8600000US00703,703,ZCTA5 00703,8996,304,14968,1267
8600000US00704,704,ZCTA5 00704,2992,340,12341,1760
8600000US00705,705,ZCTA5 00705,8581,256,16744,1473
8600000US00707,707,ZCTA5 00707,4075,254,17866,2534
8600000US00714,714,ZCTA5 00714,6237,293,15901,1490
8600000US00715,715,ZCTA5 00715,1270,186,13534,1948
8600000US00716,716,ZCTA5 00716,11939,499,18609,1422
8600000US00717,717,ZCTA5 00717,7177,305,11692,1067
8600000US00718,718,ZCTA5 00718,8737,420,18247,1637
8600000US00719,719,ZCTA5 00719,8689,303,17592,1503
8600000US00720,720,ZCTA5 00720,6890,225,14578,1272
8600000US00723,723,ZCTA5 00723,6431,264,14343,1311
8600000US00725,725,ZCTA5 00725,31095,581,20704,939
8600000US00727,727,ZCTA5 00727,20329,520,29304,1267
8600000US00728,728,ZCTA5 00728,13680,487,17689,1175
8600000US00729,729,ZCTA5 00729,16515,426,21243,1207
8600000US00730,730,ZCTA5 00730,13050,478,15459,1205
8600000US00731,731,ZCTA5 00731,4684,281,15894,1842
8600000US00735,735,ZCTA5 00735,4607,269,20450,2546
8600000US00736,736,ZCTA5 00736,17444,382,21023,1230
8600000US00738,738,ZCTA5 00738,12153,418,20917,1746
8600000US00739,739,ZCTA5 00739,12459,304,23629,1267
8600000US00740,740,ZCTA5 00740,548,132,13077,5044
8600000US00741,741,ZCTA5 00741,1667,164,19237,2971
8600000US00745,745,ZCTA5 00745,17107,513,22694,1749
8600000US00751,751,ZCTA5 00751,8329,322,14236,1558
8600000US00754,754,ZCTA5 00754,13200,367,17192,1150
8600000US00757,757,ZCTA5 00757,7848,270,16344,1598
8600000US00765,765,ZCTA5 00765,2721,224,18297,3330
8600000US00766,766,ZCTA5 00766,8058,256,17210,1064
8600000US00767,767,ZCTA5 00767,12105,383,16664,1488
8600000US00769,769,ZCTA5 00769,13411,292,18053,1054
8600000US00771,771,ZCTA5 00771,12277,406,19869,2051
8600000US00772,772,ZCTA5 00772,6941,268,16118,1079
8600000US00773,773,ZCTA5 00773,6795,284,18256,1643
8600000US00775,775,ZCTA5 00775,486,67,18167,3907
8600000US00777,777,ZCTA5 00777,13096,413,19398,1364
8600000US00778,778,ZCTA5 00778,14923,386,27872,2564
8600000US00780,780,ZCTA5 00780,4447,375,22197,2255
8600000US00782,782,ZCTA5 00782,5829,222,13472,1628
8600000US00783,783,ZCTA5 00783,10812,327,16860,1449
8600000US00784,784,ZCTA5 00784,15022,412,17048,1126
8600000US00786,786,ZCTA5 00786,146,52,21167,5736
8600000US00791,791,ZCTA5 00791,17018,533,20357,1238
8600000US00794,794,ZCTA5 00794,9347,282,14998,1310
8600000US00795,795,ZCTA5 00795,15706,351,18890,945
8600000US00901,901,ZCTA5 00901,2701,213,17256,3511
8600000US00906,906,ZCTA5 00906,28,26,33056,4876
8600000US00907,907,ZCTA5 00907,8795,418,30994,2615
8600000US00909,909,ZCTA5 00909,2696,236,16309,1797
8600000US00911,911,ZCTA5 00911,3854,264,28132,6254
8600000US00912,912,ZCTA5 00912,2462,199,19781,3678
8600000US00913,913,ZCTA5 00913,3289,274,6809,1777
8600000US00915,915,ZCTA5 00915,11871,452,13773,847
8600000US00917,917,ZCTA5 00917,8175,380,15458,1262
8600000US00918,918,ZCTA5 00918,7774,468,24712,3079
8600000US00920,920,ZCTA5 00920,7523,349,26157,1441
8600000US00921,921,ZCTA5 00921,14170,583,19263,1494
8600000US00923,923,ZCTA5 00923,10723,468,15633,911
8600000US00924,924,ZCTA5 00924,19996,656,19142,1511
8600000US00925,925,ZCTA5 00925,3019,278,11794,1251
8600000US00926,926,ZCTA5 00926,38189,781,35140,2051
8600000US00927,927,ZCTA5 00927,6044,294,33758,4053
8600000US00934,934,ZCTA5 00934,77,49,83264,27687
8600000US00936,936,ZCTA5 00936,0,13,-,**
8600000US00949,949,ZCTA5 00949,27166,594,24961,1030
8600000US00950,950,ZCTA5 00950,0,13,-,**
8600000US00951,951,ZCTA5 00951,15,12,-,**
8600000US00952,952,ZCTA5 00952,3179,268,18499,2358
8600000US00953,953,ZCTA5 00953,22120,473,29406,1539
8600000US00956,956,ZCTA5 00956,26543,532,23125,986
8600000US00957,957,ZCTA5 00957,15441,497,23643,1337
8600000US00959,959,ZCTA5 00959,18959,550,26754,1980
8600000US00960,960,ZCTA5 00960,0,13,-,**
8600000US00961,961,ZCTA5 00961,11506,496,29169,2437
8600000US00962,962,ZCTA5 00962,7353,261,16289,943
8600000US00965,965,ZCTA5 00965,3120,258,16135,1981
8600000US00966,966,ZCTA5 00966,6214,319,53052,4451
8600000US00968,968,ZCTA5 00968,1908,143,42036,5322
8600000US00969,969,ZCTA5 00969,15483,492,51285,3152
8600000US00971,971,ZCTA5 00971,10535,458,23338,2513
8600000US00976,976,ZCTA5 00976,21298,488,29736,1604
8600000US00979,979,ZCTA5 00979,7672,449,38187,3177
8600000US00982,982,ZCTA5 00982,5898,316,26370,1949
8600000US00983,983,ZCTA5 00983,14694,573,27834,1595
8600000US00985,985,ZCTA5 00985,12930,422,24514,1328
8600000US00987,987,ZCTA5 00987,20982,550,31599,1432
8600000US01001,1001,ZCTA5 01001,7000,264,60775,7022
8600000US01002,1002,ZCTA5 01002,9494,646,55082,5750
8600000US01003,1003,ZCTA5 01003,16,18,-,**
8600000US01005,1005,ZCTA5 01005,1835,166,68361,9320
8600000US01007,1007,ZCTA5 01007,5730,214,74221,7748
8600000US01008,1008,ZCTA5 01008,493,54,71979,7245
8600000US01009,1009,ZCTA5 01009,262,94,40929,9858
8600000US01010,1010,ZCTA5 01010,1504,128,82365,18054
8600000US01011,1011,ZCTA5 01011,551,58,65324,5748
8600000US01012,1012,ZCTA5 01012,223,35,56146,11936
8600000US01013,1013,ZCTA5 01013,9131,279,41342,2655
8600000US01020,1020,ZCTA5 01020,12520,420,52236,4038
8600000US01022,1022,ZCTA5 01022,1270,129,60353,8995
8600000US01026,1026,ZCTA5 01026,459,46,51213,3214
8600000US01027,1027,ZCTA5 01027,7968,256,58551,5303
8600000US01028,1028,ZCTA5 01028,6033,187,84173,7593
8600000US01029,1029,ZCTA5 01029,311,55,52566,11014
8600000US01030,1030,ZCTA5 01030,4495,214,68326,9906
8600000US01031,1031,ZCTA5 01031,568,77,43583,6472
8600000US01032,1032,ZCTA5 01032,258,42,65000,16346
8600000US01033,1033,ZCTA5 01033,2389,135,79647,8465
8600000US01034,1034,ZCTA5 01034,781,64,77448,3802
8600000US01035,1035,ZCTA5 01035,2162,157,74737,9919
8600000US01036,1036,ZCTA5 01036,1873,95,79639,6412
8600000US01037,1037,ZCTA5 01037,262,50,91471,32291
8600000US01038,1038,ZCTA5 01038,1259,91,65536,14638
8600000US01039,1039,ZCTA5 01039,616,69,68500,15607
8600000US01040,1040,ZCTA5 01040,15599,423,35550,2700
8600000US01050,1050,ZCTA5 01050,953,88,52813,14829
8600000US01053,1053,ZCTA5 01053,575,82,59850,18123
8600000US01054,1054,ZCTA5 01054,786,47,78125,9534
8600000US01056,1056,ZCTA5 01056,8228,214,61410,4384
8600000US01057,1057,ZCTA5 01057,3480,176,66343,7586
8600000US01060,1060,ZCTA5 01060,6589,219,53427,5629
8600000US01062,1062,ZCTA5 01062,4473,227,64727,6301
8600000US01063,1063,ZCTA5 01063,0,12,-,**
8600000US01066,1066,ZCTA5 01066,10,16,-,**
8600000US01068,1068,ZCTA5 01068,640,50,80577,6320
8600000US01069,1069,ZCTA5 01069,3430,215,54412,4597
8600000US01070,1070,ZCTA5 01070,247,31,57031,6670
8600000US01071,1071,ZCTA5 01071,551,71,74688,6734
8600000US01072,1072,ZCTA5 01072,629,62,68203,9042
8600000US01073,1073,ZCTA5 01073,2350,162,68693,13561
